context,id,flag,test,text
cbc:EndpointID[@schemeID = '0088'] | cac:PartyIdentification/cbc:ID[@schemeID = '0088'] | cbc:CompanyID[@schemeID = '0088'],PEPPOL-COMMON-R040,fatal,"matches(normalize-space(), '^[0-9]+$') and u:gln(normalize-space())",GLN must have a valid format according to GS1 rules.
cbc:EndpointID[@schemeID = '0192'] | cac:PartyIdentification/cbc:ID[@schemeID = '0192'] | cbc:CompanyID[@schemeID = '0192'],PEPPOL-COMMON-R041,fatal,"matches(normalize-space(), '^[0-9]{9}$') and u:mod11(normalize-space())",Norwegian organization number MUST be stated in the correct format.
cbc:EndpointID[@schemeID = '0184'] | cac:PartyIdentification/cbc:ID[@schemeID = '0184'] | cbc:CompanyID[@schemeID = '0184'],PEPPOL-COMMON-R042,fatal,"(string-length(text()) = 10) and (substring(text(), 1, 2) = 'DK') and (string-length(translate(substring(text(), 3, 8), '1234567890', '')) = 0)",Danish organization number (CVR) MUST be stated in the correct format.
cbc:EmbeddedDocumentBinaryObject[@mimeCode],PEPPOL-EN16931-CL001,fatal, some $code in $MIMECODE satisfies @mimeCode = $code,Mime code must be according to subset of IANA code list.
cac:AllowanceCharge[cbc:ChargeIndicator = 'false']/cbc:AllowanceChargeReasonCode,PEPPOL-EN16931-CL002,fatal, some $code in $UNCL5189 satisfies normalize-space(text()) = $code,Reason code MUST be according to subset of UNCL 5189 D.16B.
cac:AllowanceCharge[cbc:ChargeIndicator = 'true']/cbc:AllowanceChargeReasonCode,PEPPOL-EN16931-CL003,fatal, some $code in $UNCL7161 satisfies normalize-space(text()) = $code,Reason code MUST be according to UNCL 7161 D.16B.
cac:InvoicePeriod/cbc:DescriptionCode,PEPPOL-EN16931-CL006,fatal, some $code in $UNCL2005 satisfies normalize-space(text()) = $code,Invoice period description code must be according to UNCL 2005 D.16B.
cbc:Amount | cbc:BaseAmount | cbc:PriceAmount | cbc:TaxAmount | cbc:TaxableAmount | cbc:LineExtensionAmount | cbc:TaxExclusiveAmount | cbc:TaxInclusiveAmount | cbc:AllowanceTotalAmount | cbc:ChargeTotalAmount | cbc:PrepaidAmount | cbc:PayableRoundingAmount | cbc:PayableAmount,PEPPOL-EN16931-CL007,fatal, some $code in $ISO4217 satisfies @currencyID = $code,Currency code must be according to ISO 4217:2005
cbc:EndpointID[@schemeID],PEPPOL-EN16931-CL008,fatal, some $code in $eaid satisfies @schemeID = $code,"Electronic address identifier scheme must be from the codelist ""Electronic Address Identifier Scheme"""
cbc:IssueDate | cbc:DueDate | cbc:TaxPointDate | cbc:StartDate | cbc:EndDate | cbc:ActualDeliveryDate,PEPPOL-EN16931-F001,fatal,string-length(text()) = 10 and (string(.) castable as xs:date),A date MUST be formatted YYYY-MM-DD.
cbc:InvoiceTypeCode,PEPPOL-EN16931-P0100,fatal," $profile != '01' or (some $code in tokenize('380 383 386 393 82 80 84 395 575 623 780', '\s') satisfies normalize-space(text()) = $code)",Invoice type code MUST be set according to the profile.
cbc:CreditNoteTypeCode,PEPPOL-EN16931-P0101,fatal," $profile != '01' or (some $code in tokenize('381 396 81 83 532', '\s') satisfies normalize-space(text()) = $code)",Credit note type code MUST be set according to the profile.
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-G'],PEPPOL-EN16931-P0104,fatal,normalize-space(cbc:ID)='G',Tax Category G MUST be used when exemption reason code is VATEX-EU-G
