SemSort	BT_ID	PINT_ID	Level	BusinessTerm	ビジネス用語名	Definition	説明	Explanation	追加説明	Example	Card	DataType	Section	Extension	SynSort	XPath	Attributes	Rules	DataType	Cardinality	Alignment
0000	IBG-0	ibg-00	0	Invoice	請求書	Definition	説明	Explanation	追加説明	Example	Card	Invoice	Section	Extension	0000	/Invoice	Attributes	Rules	Invoice	Cardinality	Alignment
1000	IBT-1	ibt-001	1	Invoice number 	請求書番号	A unique identification of the Invoice.	売り手が発番した請求書を識別する番号または文字列。売り手が発番した、請求書を一意に識別する番号。			000016	1..1	Identifier	Shared		1020	/Invoice/cbc:ID		ibr-02	IdentifierType	1..1	
1010	IBT-2	ibt-002	1	Invoice issue date 	請求書発行日	The date when the Invoice was issued. 	請求書の発行日付、または請求書の書面上の発行日付。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。	2003-03-04	1..1	Date	Shared		1030	/Invoice/cbc:IssueDate		ibr-03	DateType	1..1	
1015	IBT-2	ibt-168	1	Invoice issue time	請求書発行時刻	The time of day when an invoice was issued	請求書の発行時刻。				0..1	Time	Shared	Added	1035	/Invoice/cbc:IssueTime			TimeType	0..1	
1020	IBT-3	ibt-003	1	Invoice type code 	請求書タイプコード	A code specifying the functional type of the Invoice.	この文書のタイプを識別するコード。請求書の機能を特定するためのコード。		UNTDID 1001　Peppol BIS Billing 3.0(https://docs.peppol.eu/poacc/billing/3.0/bis/#codelist)では、\n/ ubl:Invoice / cbc:InvoiceTypeCode\n80　Debit note related to goods or services\n82　Metered services invoice\n84　Debit note related to financial adjustments\n380　Commercial invoice\n383　Debit note\n386　Prepayment invoice\n393　Factored invoice\n395　Consignment invoice\n575　Insurer's invoice\n623　Forwarder's invoice\n780　Freight invoice\n/ ubl:CreditNote / cbc:CreditNoteTypeCode\n81　Credit note related to goods or services\n83　Credit note related to financial adjustments\n381　Credit note\n396　Factored credit note\n532　Forwarder's credit note	380 (Commercial Invoice)	1..1	Code	Shared		1050	/Invoice/cbc:InvoiceTypeCode		"ibr-04	ibr-cl-01	jp-cl-01"	CodeType	0..1	CAR-2
1030	IBT-5	ibt-005	1	Invoice currency code	請求書通貨コード	"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency."	請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。	The currency code must be the one listed in the ISO 4217 Currency codes. 	通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。	JPY	1..1	Code	Shared		1090	/Invoice/cbc:DocumentCurrencyCode		"ibr-05	ibr-cl-04"	CodeType	0..1	CAR-2
1040	IBT-6	ibt-006	1	Tax accounting currency.	税会計報告用通貨コード	The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.	会計報告や財務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や財務報告に使用する通貨を表すコード。	The currency code must be the one listed in the ISO 4217 Currency codes. 	通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。		0..1	Code	Aligned		1100	/Invoice/cbc:TaxCurrencyCode		"ibr-53	ibr-cl-05"	CodeType	0..1	
1050	IBT-7	ibt-007	1	TAX point date	課税基準日	"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice	 according to the TAX directive."	請求書の日付とは異なる日付が、商取引の課税対象とされる基準日。税法に基づき、請求書発行日付とは異なる日付で、売り手、買い手が税を記帳する場合の、その日付。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。		0..1	Date	Aligned		1080	/Invoice/cbc:TaxPointDate		ibr-co-11	DateType	0..1	
1060	IBT-8	ibt-008	1	TAX point date code	課税基準日コード	The code of the date when the TAX becomes accountable for the Seller and for the Buyer.	売り手、買い手が税を記帳する日付が何であるかを示すコード。	"The TAX point date code must be the one listed in the UNCL2005 subset. \n3 Invoice document issue date time \n35 Delivery date/time	 actual\n432 Paid to date"	"VAT date code (UNCL2005 subset) から選択する。\n3 Invoice document issue date time (請求書発行日付時刻)\n35 Delivery date/time	 actual (実際納入日付時刻)\n432 Paid to date (支払日)"	3 (請求書発行日付時刻)	0..1	Code	Aligned		1160	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode			CodeType	0..n	CAR-3
1070	IBT-9	ibt-009	1	Payment due date 	支払期日	The date when the payment is due.	支払条件で示された支払期日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。	2003-03-20	0..1	Date	Shared		1040	/Invoice/cbc:DueDate		ibr-co-25	DateType	0..1	
1080	IBT-10	ibt-010	1	Buyer reference 	買い手参照	An identifier assigned by the Buyer used for internal routing purposes.	買い手によって割り当てられたIDで、買い手の内部ルーティングの目的で使用。買い手が付したIDで、買い手内部での後続処理目的で使用。				0..1	Text	Shared		1120	/Invoice/cbc:BuyerReference			TextType	0..1	
1090	IBT-11	ibt-011	1	Project reference 	プロジェクト参照	The identification of the project the invoice refers to 	発注品に関するプロジェクト・工事案件等を管理するための番号。インボイスが参照するプロジェクトのID。				0..1	Document Reference	Shared		1440	/Invoice/cac:ProjectReference/cbc:ID			IdentifierType	1..1	CAR-1
