seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	BankToCustomerAccountReportV08		1	/Document
1010	1		Bank To Customer Account Report	BkToCstmrAcctRpt	BankToCustomerAccountReportV08		1	/Document/BkToCstmrAcctRpt
1020	2		Group Header	GrpHdr	GroupHeader81		1	/Document/BkToCstmrAcctRpt/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/BkToCstmrAcctRpt/GrpHdr/CreDtTm
1050	3		Message Recipient	MsgRcpt	PartyIdentification135		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt
1060	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/Nm
1070	4		Postal Address	PstlAdr	PostalAddress24		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr
1080	5		Address Type	AdrTp	AddressType3Choice		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp
1090	6	 ----- Chc	Code	Cd	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Cd
1100	6	 ----- Chc	Proprietary	Prtry	GenericIdentification30		1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry
1110	7		Identification	Id	Exact4AlphaNumericText (xs:string)	[a-zA-Z0-9]{4}	1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/Id
1120	7		Issuer	Issr	Max35Text (xs:string)		1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/Issr
1130	7		Scheme Name	SchmeNm	Max35Text (xs:string)		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/AdrTp/Prtry/SchmeNm
1140	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/BkToCstmrAcctRpt/GrpHdr/MsgRcpt/PstlAdr/Dept
