seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1000	0		Document	Document	CustomerPaymentStatusReportV03		1	/Document
1010	1		Customer Payment Status Report	CstmrPmtStsRpt	CustomerPaymentStatusReportV03		1	/Document/CstmrPmtStsRpt
1020	2		Group Header	GrpHdr	GroupHeader36		1	/Document/CstmrPmtStsRpt/GrpHdr
1030	3		Message Identification	MsgId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/MsgId
1040	3		Creation Date Time	CreDtTm	ISODateTime (xs:dateTime)		1	/Document/CstmrPmtStsRpt/GrpHdr/CreDtTm
1050	3		Initiating Party	InitgPty	PartyIdentification32		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty
1060	4		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Nm
1070	4		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr
1080	5		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrTp
1090	5		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Dept
1100	5		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/SubDept
1110	5		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/StrtNm
1120	5		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/BldgNb
1130	5		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/PstCd
1140	5		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/TwnNm
1150	5		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/CtrySubDvsn
1160	5		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/Ctry
1170	5		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/PstlAdr/AdrLine
1180	4		Identification	Id	Party6Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id
1190	5	 ---- Chc	Organisation Identification	OrgId	OrganisationIdentification4		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId
1200	6		BIC Or BEI	BICOrBEI	AnyBICIdentifier (xs:string)	[A-Z]{6,6}[A-Z2-9][A-NP-Z0-9]([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/BICOrBEI
1210	6		Other	Othr	GenericOrganisationIdentification1		0..n	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr
1220	7		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/Id
1230	7		Scheme Name	SchmeNm	OrganisationIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm
1240	8	 ------- Chc	Code	Cd	ExternalOrganisationIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm/Cd
1250	8	 ------- Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/SchmeNm/Prtry
1260	7		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/Othr/Issr
1270	5	 ---- Chc	Private Identification	PrvtId	PersonIdentification5		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId
1280	6		Date And Place Of Birth	DtAndPlcOfBirth	DateAndPlaceOfBirth		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth
1290	7		Birth Date	BirthDt	ISODate (xs:date)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/BirthDt
1300	7		Province Of Birth	PrvcOfBirth	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/PrvcOfBirth
1310	7		City Of Birth	CityOfBirth	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/CityOfBirth
1320	7		Country Of Birth	CtryOfBirth	CountryCode (xs:string)	[A-Z]{2,2}	1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/DtAndPlcOfBirth/CtryOfBirth
1330	6		Other	Othr	GenericPersonIdentification1		0..n	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr
1340	7		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/Id
1350	7		Scheme Name	SchmeNm	PersonIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm
1360	8	 ------- Chc	Code	Cd	ExternalPersonIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm/Cd
