seq	level	ref	datatype	occurrence	XPath
1000	1	cbc:UBLVersionID	Identifier	0..1	/CreditNote/cbc:UBLVersionID
1010	1	cbc:CustomizationID	Identifier	0..1	/CreditNote/cbc:CustomizationID
1020	1	cbc:ProfileID	Identifier	0..1	/CreditNote/cbc:ProfileID
1030	1	cbc:ProfileExecutionID	Identifier	0..1	/CreditNote/cbc:ProfileExecutionID
1040	1	cbc:ID	Identifier	1..1	/CreditNote/cbc:ID
1050	1	cbc:CopyIndicator	Indicator	0..1	/CreditNote/cbc:CopyIndicator
1060	1	cbc:UUID	Identifier	0..1	/CreditNote/cbc:UUID
1070	1	cbc:IssueDate	Date	1..1	/CreditNote/cbc:IssueDate
1080	1	cbc:IssueTime	Time	0..1	/CreditNote/cbc:IssueTime
1090	1	cbc:TaxPointDate	Date	0..1	/CreditNote/cbc:TaxPointDate
1100	1	cbc:CreditNoteTypeCode	Code	0..1	/CreditNote/cbc:CreditNoteTypeCode
1110	1	cbc:Note	Text	0..n	/CreditNote/cbc:Note
1120	1	cbc:DocumentCurrencyCode	Code	0..1	/CreditNote/cbc:DocumentCurrencyCode
1130	1	cbc:TaxCurrencyCode	Code	0..1	/CreditNote/cbc:TaxCurrencyCode
1140	1	cbc:PricingCurrencyCode	Code	0..1	/CreditNote/cbc:PricingCurrencyCode
1150	1	cbc:PaymentCurrencyCode	Code	0..1	/CreditNote/cbc:PaymentCurrencyCode
1160	1	cbc:PaymentAlternativeCurrencyCode	Code	0..1	/CreditNote/cbc:PaymentAlternativeCurrencyCode
1170	1	cbc:AccountingCostCode	Code	0..1	/CreditNote/cbc:AccountingCostCode
1180	1	cbc:AccountingCost	Text	0..1	/CreditNote/cbc:AccountingCost
1190	1	cbc:LineCountNumeric	Numeric	0..1	/CreditNote/cbc:LineCountNumeric
1200	1	cbc:BuyerReference	Text	0..1	/CreditNote/cbc:BuyerReference
1210	1	cac:InvoicePeriod	PeriodType	0..n	/CreditNote/cac:InvoicePeriod
1220	2	cbc:StartDate	Date	0..1	/CreditNote/cac:InvoicePeriod/cbc:StartDate
1230	2	cbc:StartTime	Time	0..1	/CreditNote/cac:InvoicePeriod/cbc:StartTime
1240	2	cbc:EndDate	Date	0..1	/CreditNote/cac:InvoicePeriod/cbc:EndDate
1250	2	cbc:EndTime	Time	0..1	/CreditNote/cac:InvoicePeriod/cbc:EndTime
1260	2	cbc:DurationMeasure	Measure	0..1	/CreditNote/cac:InvoicePeriod/cbc:DurationMeasure
1270	2	cbc:DescriptionCode	Code	0..n	/CreditNote/cac:InvoicePeriod/cbc:DescriptionCode
1280	2	cbc:Description	Text	0..n	/CreditNote/cac:InvoicePeriod/cbc:Description
1290	1	cac:DiscrepancyResponse	ResponseType	0..n	/CreditNote/cac:DiscrepancyResponse
1300	2	cbc:ReferenceID	Identifier	0..1	/CreditNote/cac:DiscrepancyResponse/cbc:ReferenceID
1310	2	cbc:ResponseCode	Code	0..1	/CreditNote/cac:DiscrepancyResponse/cbc:ResponseCode
1320	2	cbc:Description	Text	0..n	/CreditNote/cac:DiscrepancyResponse/cbc:Description
1330	2	cbc:EffectiveDate	Date	0..1	/CreditNote/cac:DiscrepancyResponse/cbc:EffectiveDate
1340	2	cbc:EffectiveTime	Time	0..1	/CreditNote/cac:DiscrepancyResponse/cbc:EffectiveTime
1350	2	cac:Status	StatusType	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status
1360	3	cbc:ConditionCode	Code	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:ConditionCode
1370	3	cbc:ReferenceDate	Date	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:ReferenceDate
1380	3	cbc:ReferenceTime	Time	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:ReferenceTime
1390	3	cbc:Description	Text	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:Description
1400	3	cbc:StatusReasonCode	Code	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:StatusReasonCode
1410	3	cbc:StatusReason	Text	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:StatusReason
1420	3	cbc:SequenceID	Identifier	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:SequenceID
1430	3	cbc:Text	Text	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:Text
1440	3	cbc:IndicationIndicator	Indicator	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:IndicationIndicator
1450	3	cbc:Percent	Percent	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:Percent
1460	3	cbc:ReliabilityPercent	Percent	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cbc:ReliabilityPercent
1470	3	cac:Condition	ConditionType	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition
1480	4	cbc:AttributeID	Identifier	1..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:AttributeID
1490	4	cbc:Measure	Measure	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:Measure
1500	4	cbc:Description	Text	0..n	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:Description
1510	4	cbc:MinimumMeasure	Measure	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:MinimumMeasure
1520	4	cbc:MaximumMeasure	Measure	0..1	/CreditNote/cac:DiscrepancyResponse/cac:Status/cac:Condition/cbc:MaximumMeasure
1530	1	cac:OrderReference	OrderReferenceType	0..1	/CreditNote/cac:OrderReference
