seq	level	ref	datatype	occurrence	XPath
1000	1	cbc:UBLVersionID	Identifier	0..1	/Statement/cbc:UBLVersionID
1010	1	cbc:CustomizationID	Identifier	0..1	/Statement/cbc:CustomizationID
1020	1	cbc:ProfileID	Identifier	0..1	/Statement/cbc:ProfileID
1030	1	cbc:ProfileExecutionID	Identifier	0..1	/Statement/cbc:ProfileExecutionID
1040	1	cbc:ID	Identifier	1..1	/Statement/cbc:ID
1050	1	cbc:CopyIndicator	Indicator	0..1	/Statement/cbc:CopyIndicator
1060	1	cbc:UUID	Identifier	0..1	/Statement/cbc:UUID
1070	1	cbc:IssueDate	Date	1..1	/Statement/cbc:IssueDate
1080	1	cbc:IssueTime	Time	0..1	/Statement/cbc:IssueTime
1090	1	cbc:Note	Text	0..n	/Statement/cbc:Note
1100	1	cbc:DocumentCurrencyCode	Code	1..1	/Statement/cbc:DocumentCurrencyCode
1110	1	cbc:TotalDebitAmount	Amount	0..1	/Statement/cbc:TotalDebitAmount
1120	1	cbc:TotalCreditAmount	Amount	0..1	/Statement/cbc:TotalCreditAmount
1130	1	cbc:TotalBalanceAmount	Amount	0..1	/Statement/cbc:TotalBalanceAmount
1140	1	cbc:LineCountNumeric	Numeric	0..1	/Statement/cbc:LineCountNumeric
1150	1	cbc:StatementTypeCode	Code	0..1	/Statement/cbc:StatementTypeCode
1160	1	cac:StatementPeriod	PeriodType	0..1	/Statement/cac:StatementPeriod
1170	2	cbc:StartDate	Date	0..1	/Statement/cac:StatementPeriod/cbc:StartDate
1180	2	cbc:StartTime	Time	0..1	/Statement/cac:StatementPeriod/cbc:StartTime
1190	2	cbc:EndDate	Date	0..1	/Statement/cac:StatementPeriod/cbc:EndDate
1200	2	cbc:EndTime	Time	0..1	/Statement/cac:StatementPeriod/cbc:EndTime
1210	2	cbc:DurationMeasure	Measure	0..1	/Statement/cac:StatementPeriod/cbc:DurationMeasure
1220	2	cbc:DescriptionCode	Code	0..n	/Statement/cac:StatementPeriod/cbc:DescriptionCode
1230	2	cbc:Description	Text	0..n	/Statement/cac:StatementPeriod/cbc:Description
1240	1	cac:AdditionalDocumentReference	DocumentReferenceType	0..n	/Statement/cac:AdditionalDocumentReference
1250	2	cbc:ID	Identifier	1..1	/Statement/cac:AdditionalDocumentReference/cbc:ID
1260	2	cbc:CopyIndicator	Indicator	0..1	/Statement/cac:AdditionalDocumentReference/cbc:CopyIndicator
1270	2	cbc:UUID	Identifier	0..1	/Statement/cac:AdditionalDocumentReference/cbc:UUID
1280	2	cbc:IssueDate	Date	0..1	/Statement/cac:AdditionalDocumentReference/cbc:IssueDate
1290	2	cbc:IssueTime	Time	0..1	/Statement/cac:AdditionalDocumentReference/cbc:IssueTime
1300	2	cbc:DocumentTypeCode	Code	0..1	/Statement/cac:AdditionalDocumentReference/cbc:DocumentTypeCode
1310	2	cbc:DocumentType	Text	0..1	/Statement/cac:AdditionalDocumentReference/cbc:DocumentType
1320	2	cbc:XPath	Text	0..n	/Statement/cac:AdditionalDocumentReference/cbc:XPath
1330	2	cbc:LanguageID	Identifier	0..1	/Statement/cac:AdditionalDocumentReference/cbc:LanguageID
1340	2	cbc:LocaleCode	Code	0..1	/Statement/cac:AdditionalDocumentReference/cbc:LocaleCode
1350	2	cbc:VersionID	Identifier	0..1	/Statement/cac:AdditionalDocumentReference/cbc:VersionID
1360	2	cbc:DocumentStatusCode	Code	0..1	/Statement/cac:AdditionalDocumentReference/cbc:DocumentStatusCode
1370	2	cbc:DocumentDescription	Text	0..n	/Statement/cac:AdditionalDocumentReference/cbc:DocumentDescription
1380	2	cac:Attachment	AttachmentType	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment
1390	3	cbc:EmbeddedDocumentBinaryObject	BinaryObject	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
1400	3	cac:ExternalReference	ExternalReferenceType	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference
1410	4	cbc:URI	Identifier	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
1420	4	cbc:DocumentHash	Text	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:DocumentHash
1430	4	cbc:HashAlgorithmMethod	Text	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:HashAlgorithmMethod
1440	4	cbc:ExpiryDate	Date	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryDate
1450	4	cbc:ExpiryTime	Time	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryTime
1460	4	cbc:MimeCode	Code	0..1	/Statement/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:MimeCode
