,,,,,ibg-23,ibg-23,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,TAX BREAKDOWN,INVOICE LINE,INVOICE LINE
,,,,,0,1,0,1
ibt-001,1,1..1,Invoice number,Snippet1,,,,
ibt-002,1,1..1,Invoice issue date ,2017-11-13,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,
ibt-005,1,1..1,Invoice currency code,SEK,,,,
ibt-006,1,0..1,Tax accounting currency,JPY,,,,
ibt-007,1,0..1,TAX point date,2017-12-01,,,,
ibt-009,1,0..1,Payment due date ,2017-12-01,,,,
ibt-010,1,0..1,Buyer reference ,0150abc,,,,
ibt-011,1,0..1,Project reference,project333,,,,
ibt-012,1,0..1,Contract reference ,framework no 1,,,,
ibt-013,1,0..1,Purchase order reference,o-998877,,,,
ibt-014,1,0..1,Sales order reference,so-12343,,,,
ibt-015,1,0..1,Receiving advice reference,resadv-1,,,,
ibt-016,1,0..n,Despatch advice reference,despadv-3,,,,
ibt-017,1,0..1,Tender or lot reference,ppid-123,,,,
ibt-018,1,0..1,Invoiced object identifier,DR35141,,,,
ibt-018-1,2,0..1,The identification scheme identifier of the Invoiced object identifier.,ABT,,,,
ibt-019,1,0..1,Buyer accounting reference,4025:123:4343,,,,
ibg-33,1,0..n,INVOICE TERMS,,,,,
ibt-020,2,0..1,Payment terms,"Payment within 10 days, 2% discount",,,,
ibt-022,1,0..1,Invoice note,Please note we have a new phone number: 22 22 22 22,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,
ibt-023,2,0..1,Business process type,urn:peppol:bis:billing,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,
ibg-04,1,1..1,SELLER,,,,,
ibt-027,2,1..1,Seller name,売り手商事有限会社,,,,
ibt-028,2,0..1,Seller trading name,売り手商会,,,,
ibt-029,2,0..n,Seller identifier ,8700110005901 ,,,,
ibt-029-1,3,0..1,Scheme identifier,188,,,,
ibt-030,2,0..1,Seller legal registration identifier,GB983294,,,,
ibt-030-1,3,0..1,Scheme identifier,002,,,,
ibt-032,2,0..1,Seller TAX registration identifier,T8700110005901,,,,
ibt-033,2,0..1,Seller additional legal information,有限会社,,,,
ibt-034,2,0..1,Seller electronic address,JP8700110005901,,,,
ibt-034-1,3,1..1,Scheme identifier,188,,,,
ibg-05,2,1..1,SELLER POSTAL ADDRESS,,,,,
ibt-035,3,0..1,Seller address line 1 ,Main street 1,,,,
