,,,,,ibg-23,ibg-23,ibg-25,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,TAX BREAKDOWN,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,1,0,1,2
ibt-001,1,1..1,Invoice number,000016,,,,,
ibt-002,1,1..1,Invoice issue date ,2003-03-04,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,
ibt-005,1,1..1,Invoice currency code,JPY,,,,,
ibt-008,1,0..1,TAX point date code,3,,,,,
ibt-009,1,0..1,Payment due date ,2003-03-20,,,,,
ibt-013,1,0..1,Purchase order reference,AA-123-AA,,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,,
ibt-023,2,0..1,Business process type,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,,
ibg-04,1,1..1,SELLER,,,,,,
ibt-027,2,1..1,Seller name,äîéÆâÔé– ÅõÅõè§éñ,,,,,
ibt-028,2,0..1,Seller trading name,äîéÆâÔé– ÅõÅõè§éñ,,,,,
ibt-029,2,0..n,Seller identifier ,123456000123:0147:1,,,,,
ibt-029-1,3,0..1,Scheme identifier,0002,,,,,
ibt-030,2,0..1,Seller legal registration identifier,0170,,,,,
ibt-032,2,0..1,Seller TAX registration identifier,T8700110005901,,,,,
ibt-034,2,0..1,Seller electronic address,0188,,,,,
ibg-05,2,1..1,SELLER POSTAL ADDRESS,,,,,,
ibt-035,3,0..1,Seller address line 1 ,élíJ4-29-X,,,,,
ibt-036,3,0..1,Seller address line 2,ÅZÅZè§éñÉrÉã,,,,,
ibt-037,3,0..1,Seller city,êVèhãÊ,,,,,
ibt-038,3,0..1,Seller post code,160-0044,,,,,
ibt-039,3,0..1,Seller country subdivision ,ìåãûìs,,,,,
ibt-040,3,1..1,Seller country code ,JP,,,,,
ibg-06,2,0..1,SELLER CONTACT ,,,,,,
ibt-041,3,0..1,Seller contact point ,ê¬ñÿÅ@éuòY,,,,,
ibt-042,3,0..1,Seller contact telephone number,03-3xxx-0001,,,,,
ibt-043,3,0..1,Seller contact email address,shirou_aoki@ÅZÅZco.jp,,,,,
ibg-07,1,1..1,BUYER ,,,,,,
ibt-044,2,1..1,Buyer name ,äîéÆâÔé– ì°éRï®éY éDñyéxé–,,,,,
ibt-045,2,0..1,Buyer trading name,äîéÆâÔé– ì°éRï®éY,,,,,
ibt-046,2,0..n,Buyer identifier ,0000001020,,,,,
ibt-046-1,3,0..1,Scheme identifier,0002,,,,,
ibt-047,2,0..1,Buyer legal registration identifier,0147,,,,,
ibt-048,2,0..1,Buyer TAX identifier,T3210987654321,,,,,
ibt-049,2,0..1,Buyer electronic address,0188,,,,,
ibg-08,2,1..1,BUYER POSTAL ADDRESS,,,,,,
ibt-050,3,0..1,Buyer address line 1 ,ñkãÊ,,,,,
ibt-051,3,0..1,Buyer address line 2,ñkè\ìÒèêº76-X,,,,,
ibt-052,3,0..1,Buyer city,éDñyés,,,,,
ibt-053,3,0..1,Buyer post code,001-0012,,,,,
ibt-054,3,0..1,Buyer country subdivision ,ñkäCìπ,,,,,
ibt-055,3,1..1,Buyer country code ,JP,,,,,
ibg-09,2,0..1,BUYER CONTACT,,,,,,
ibt-056,3,0..1,Buyer contact point ,äîéÆâÔé– ì°éRï®éY éDñyéxé–,,,,,
ibt-058,3,0..1,Buyer contact email address,purchaser@fujiyamabussan.co.jp,,,,,
ibg-13,1,0..1,DELIVERY INFORMATION,,,,,,
ibt-070,2,0..1,Deliver to party name,äîéÆâÔé– ì°éRï®éY éDñyéxé–,,,,,
ibt-072,2,0..1,Actual delivery date,2021-03-04,,,,,
ibg-14,2,0..1,INVOICING PERIOD ,,,,,,
ibt-073,3,0..1,Invoicing period start date,2003-03-01,,,,,
ibt-074,3,0..1,Invoicing period end date,2003-03-31,,,,,
ibg-15,2,0..1,DELIVER TO ADDRESS,,,,,,
ibt-075,3,0..1,Deliver to address line 1 ,ñkäCìπéDñyésñkãÊ,,,,,
ibt-076,3,0..1,Deliver to address line 2,ñkè\ìÒèêº76-X,,,,,
ibt-077,3,0..1,Deliver to city,ñkäCìπéDñyés,,,,,
ibt-078,3,0..1,Deliver to post code,001-0012,,,,,
ibt-080,3,1..1,Deliver to country code ,JP,,,,,
ibg-16,1,0..n,PAYMENT INSTRUCTIONS,,,,,,
ibt-081,2,1..1,Payment means type code,Credit transfer,,,,,
ibt-083,2,0..n,Remittance information,Snippet1,,,,,
ibg-17,2,0..n,CREDIT TRANSFER ,,,,,,
ibt-084,3,1..1,Payment account identifier,1234:12:1:123456789,,,,,
ibg-20,1,0..n,DOCUMENT LEVEL ALLOWANCES,,,,,,
ibt-092,2,1..1,Document level allowance amount,10000,,,,,
ibt-093,2,0..1,Document level allowance base amount,50000,,,,,
ibt-094,2,0..1,Document level allowance percentage,20,,,,,
ibt-095,2,0..1,Document level allowance TAX category code,S,,,,,
ibt-096,2,0..1,Document level allowance TAX rate,10,,,,,
ibt-097,2,0..1,Document level allowance reason,ílà¯Ç´,,,,,
ibg-21,1,0..n,DOCUMENT LEVEL CHARGES,,,,,,
ibt-099,2,1..1,Document level charge amount,17700,,,,,
ibt-102,2,0..1,Document level charge TAX category code,S,,,,,
ibt-103,2,0..1,Document level charge TAX rate,10,,,,,
ibt-104,2,0..1,Document level charge reason,èîä|,,,,,
ibg-22,1,1..1,DOCUMENT TOTALS,,,,,,
ibt-106,2,1..1,Sum of Invoice line net amount,120000,,,,,
ibt-107,2,0..1,Sum of allowances on document level,10000,,,,,
ibt-108,2,0..1,Sum of charges on document level,17700,,,,,
ibt-109,2,1..1,Invoice total amount without TAX,127700,,,,,
ibt-110,2,0..1,Invoice total TAX amount,11970,,,,,
ibt-112,2,1..1,Invoice total amount with TAX,139670,,,,,
ibt-115,2,1..1,Amount due for payment,139670,,,,,
ibg-23,1,1..n,TAX BREAKDOWN,,,,,,
ibt-116,2,1..1,TAX category taxable amount,,87700,40000,,,
