						------	ibg-04	ibg-07	ibg-13	ibg-16	ibg-16	ibg-20	ibg-21	ibg-21	ibg-39	ibg-23	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
							販売者	発注者	納入先	支払手段	支払手段	ドキュメントレベルの返還請求	ドキュメントレベルの追加請求	ドキュメントレベルの追加請求	消費税合計金額	消費税内訳情報	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	-	-	-	0	0	0	0	1	-	0	1	-	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2
						------	------	------	------	------	ibg-17	------	------	------	------	------	------	------	------	ibg-31	ibg-30	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-29
											銀行振込									品目情報	明細行税額情報	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	取引価格詳細
						-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	0	0	-	-	-	0	0	-	-	-	0	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																												
ibt-024	2	Specification identifier	仕様識別子	1..1	ID	urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0																											
ibt-023	2	Business process type	ビジネスプロセスタイプ	0..1	Text	urn:fdc:peppol.eu:2017:poacc:billing:01:1.0																											
ibt-001	1	Invoice number 	請求書番号	1..1	ID	000016																											
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date	2003-03-04																											
ibt-009	1	Payment due date 	支払期日	0..1	Date	2003-03-20																											
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code	380																											
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																												
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code	JPY																											
ibg-14	1	INVOICING PERIOD 	請求期間	0..1	Group																												
ibt-008	1	TAX point date code	課税基準日コード	0..1	Code	3																											
ibt-013	1	Purchase order reference	購買発注参照	0..1	REF	AA-123-AA																											
ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group																												
ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group																												
ibg-04	1	SELLER	販売者	1..1	Group																												
ibt-034	2	Seller electronic address	販売者電子アドレス	0..1	ID		JP1234567890123																										
ibt-034-1	3	Scheme identifier	スキーマ識別子	1..1	Scheme		0188																										
ibt-029	2	Seller identifier 	販売者コード	0..n	ID		123456000123:0147:1																										
ibt-028	2	Seller trading name	販売者の商号	0..1	Text		株式会社 ○○商事																										
ibg-05	2	SELLER POSTAL ADDRESS	販売者の住所	1..1	Group																												
ibt-035	3	Seller address line 1 	販売者住所欄1	0..1	Text		四谷4-29-X																										
ibt-036	3	Seller address line 2	販売者住所欄2	0..1	Text		〇〇商事ビル																										
ibt-037	3	Seller city	販売者住所 市区町村	0..1	Text		新宿区																										
ibt-038	3	Seller post code	販売者郵便番号	0..1	Text		160-0044																										
ibt-039	3	Seller country subdivision 	販売者住所 都道府県	0..1	Text		東京都																										
ibt-040	3	Seller country code 	販売者国コード	1..1	Code		JP																										
ibg-42	2	SELLER TAX REGISTRATION	販売者VAT登録情報		Group																												
ibt-031	3	Seller TAX identifier	販売者 TAX ID	0..1	ID		T1234567890123																										
ibt-031-1	3	Tax Scheme	税スキーマ	0..1	Code		VAT																										
