,,,,,ibg-16,ibg-16,ibg-23,ibg-23,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25,ibg-25
,,,,,PAYMENT INSTRUCTIONS,PAYMENT INSTRUCTIONS,TAX BREAKDOWN,TAX BREAKDOWN,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,1,0,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ibt-001,1,1..1,Invoice number,12115118,,,,,,,,,,,,,,,,,,,,,,,,
ibt-002,1,1..1,Invoice issue date ,2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,,,,,,,,,,,,,,,,,,,,
ibt-005,1,1..1,Invoice currency code,EUR,,,,,,,,,,,,,,,,,,,,,,,,
ibt-009,1,0..1,Payment due date ,2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,
ibg-01,1,0..n,INVOICE NOTE,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-021,2,0..1,Invoice note subject code,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-022,2,0..1,Invoice note,"Alle leveringen zijn franco. Alle prijzen zijn incl. BTW. Betalingstermijn: 14 dagen netto. Prijswijzigingen voorbehouden. Op al onze aanbiedingen, leveringen en overeenkomsten zijn van toepassing in de algemene verkoop en leveringsvoorwaarden. Gedeponeerd bij de K.v.K. te Amsterdam 25-04-'85##Delivery terms",,,,,,,,,,,,,,,,,,,,,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,,,,,,,,,,,,,,,,,,,,,
ibg-04,1,1..1,SELLER,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-027,2,1..1,Seller name,De Koksmaat,,,,,,,,,,,,,,,,,,,,,,,,
ibt-030,2,0..1,Seller legal registration identifier,57151520,,,,,,,,,,,,,,,,,,,,,,,,
ibt-031,2,0..1,Seller TAX identifier,NL8200.98.395.B.01,,,,,,,,,,,,,,,,,,,,,,,,
ibt-031-2,3,1..1,Tax scheme,VAT,,,,,,,,,,,,,,,,,,,,,,,,
ibt-032,2,0..1,Seller TAX registration identifier,NL8200.98.395.B.01,,,,,,,,,,,,,,,,,,,,,,,,
ibt-035,3,0..1,Seller address line 1 ,Postbus 7l,,,,,,,,,,,,,,,,,,,,,,,,
ibt-037,3,0..1,Seller city,Velsen-Noord,,,,,,,,,,,,,,,,,,,,,,,,
ibt-038,3,0..1,Seller post code,1950 AB,,,,,,,,,,,,,,,,,,,,,,,,
ibt-040,3,1..1,Seller country code ,NL,,,,,,,,,,,,,,,,,,,,,,,,
ibg-07,1,1..1,BUYER ,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-044,2,1..1,Buyer name ,ODIN 59,,,,,,,,,,,,,,,,,,,,,,,,
ibt-046,2,0..n,Buyer identifier ,10202,,,,,,,,,,,,,,,,,,,,,,,,
ibg-08,2,1..1,BUYER POSTAL ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-050,3,0..1,Buyer address line 1 ,POSTBUS 367,,,,,,,,,,,,,,,,,,,,,,,,
ibt-052,3,0..1,Buyer city,HEEMSKERK,,,,,,,,,,,,,,,,,,,,,,,,
ibt-053,3,0..1,Buyer post code,1960 AJ,,,,,,,,,,,,,,,,,,,,,,,,
ibt-055,3,1..1,Buyer country code ,NL,,,,,,,,,,,,,,,,,,,,,,,,
ibg-09,2,0..1,BUYER CONTACT,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-056,3,0..1,Buyer contact point ,Dhr. J BLOKKER,,,,,,,,,,,,,,,,,,,,,,,,
ibg-16,1,0..n,PAYMENT INSTRUCTIONS,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-081,2,1..1,Payment means type code,,30,30,,,,,,,,,,,,,,,,,,,,,,
ibt-083,2,0..n,Remittance information,,Deb. 10202 / Fact. 12115118,,,,,,,,,,,,,,,,,,,,,,,
ibg-17,2,0..n,CREDIT TRANSFER ,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-084,3,1..1,Payment account identifier,,NL57 RABO 0107307510,NL03 INGB 0004489902,,,,,,,,,,,,,,,,,,,,,,
ibg-22,1,1..1,DOCUMENT TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-106,2,1..1,Sum of Invoice line net amount,229.60,,,,,,,,,,,,,,,,,,,,,,,,
ibt-109,2,1..1,Invoice total amount without TAX,229.60,,,,,,,,,,,,,,,,,,,,,,,,
ibt-110,2,0..1,Invoice total TAX amount,20.73,,,,,,,,,,,,,,,,,,,,,,,,
ibt-112,2,1..1,Invoice total amount with TAX,250.33,,,,,,,,,,,,,,,,,,,,,,,,
ibt-115,2,1..1,Amount due for payment,250.33,,,,,,,,,,,,,,,,,,,,,,,,
ibg-23,1,1..n,TAX BREAKDOWN,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-116,2,1..1,TAX category taxable amount,,,,183.23,46.37,,,,,,,,,,,,,,,,,,,,
ibt-117,2,1..1,TAX category tax amount,,,,10.99,9.74,,,,,,,,,,,,,,,,,,,,
ibt-118,2,1..1,TAX category code ,,,,S,S,,,,,,,,,,,,,,,,,,,,
ibt-119,2,0..1,TAX category rate,,,,6,21,,,,,,,,,,,,,,,,,,,,
ibt-198,2,1..1,Tax scheme,,,,VAT,VAT,,,,,,,,,,,,,,,,,,,,
ibg-25,1,1..n,INVOICE LINE,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-126,2,1..1,Invoice line identifier,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ibt-129,2,1..1,Invoiced quantity,,,,,,2,1,1,2,1,1,1,1,3,1,2,1,2,1,1,2,2,1,6,6
ibt-130,2,1..1,Invoiced quantity unit of measure code,,,,,,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA
ibt-131,2,1..1,Invoice line net amount ,,,,,,19.90,9.85,8.29,14.46,35.00,35.00,10.65,1.55,14.37,8.29,16.58,9.95,3.30,10.80,3.90,7.60,9.34,18.63,102.12,-109.98
ibg-29,2,1..1,PRICE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-146,3,1..1,Item net price,,,,,,9.95,9.85,8.29,7.23,35.00,35.00,10.65,1.55,4.79,8.29,8.29,9.95,1.65,10.80,3.90,3.80,4.67,18.63,17.02,18.33
ibg-30,2,1..n,LINE TAX INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,
ibt-151,3,1..1,Invoiced item TAX category code,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
ibt-152,3,0..1,Invoiced item TAX rate,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,21,6,21,21,21,6,6
ibt-167,3,0..1,Tax Scheme,,,,,,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT,VAT
