						------	ibg-01	ibg-14	ibg-04	ibg-07	ibg-16	ibg-16	ibg-21	ibg-39	ibg-23	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
							請求書注釈	請求期間	販売者	発注者	支払手段	支払手段	ドキュメントレベルの追加請求	消費税合計金額	消費税内訳情報	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	0	-	-	-	0	0	0	-	0	1	-	0	0	0	0	1	1	1	1
						------	------	------	------	------	------	ibg-17	------	------	------	------	------	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29
												銀行振込							品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細
						-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	-	-	-	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																				
ibt-024	2	Specification identifier	仕様識別子	1..1	ID	urn:cen.eu:en16931:2017																			
ibt-001	1	Invoice number 	請求書番号	1..1	ID	TOSL108																			
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date	2013-04-10																			
ibt-009	1	Payment due date 	支払期日	0..1	Date	2013-05-10																			
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code	380																			
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																				
ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text		Contract was established through our website																		
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code	DKK																			
ibg-14	1	INVOICING PERIOD 	請求期間	0..1	Group																				
ibt-073	2	Invoicing period start date	請求期間開始日	0..1	Date			2013-01-01																	
ibt-074	2	Invoicing period end date	請求期間終了日	0..1	Date			2013-04-01																	
ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group																				
ibt-012	1	Contract reference 	契約書参照	0..1	REF	SUBSCR571																			
ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group																				
ibg-04	1	SELLER	販売者	1..1	Group																				
ibt-029	2	Seller identifier 	販売者コード	0..n	ID				1238764941386																
ibt-029-1	3	Scheme identifier	スキーマ識別子	1..1	Scheme				0088																
ibg-05	2	SELLER POSTAL ADDRESS	販売者の住所	1..1	Group																				
ibt-035	3	Seller address line 1 	販売者住所欄1	0..1	Text				Main street 2, Building 4																
ibt-037	3	Seller city	販売者住所 市区町村	0..1	Text				Big city																
ibt-038	3	Seller post code	販売者郵便番号	0..1	Text				54321																
ibt-040	3	Seller country code 	販売者国コード	1..1	Code				DK																
ibg-42	2	SELLER TAX REGISTRATION	販売者VAT登録情報		Group																				
ibt-031	3	Seller TAX identifier	販売者 TAX ID	0..1	ID				DK16356706																
ibt-032-1	3	Tax Scheme	税スキーマ	0..1	Code				VAT																
ibg-37	2	SELLER LEGAL REGISTRATION	販売者登録情報	0..1	Group																				
ibt-027	3	Seller name	販売者名称	1..1	Text				SubscriptionSeller																
ibt-030	3	Seller legal registration identifier	販売者国際企業コード	0..1	ID				DK16356706																
ibg-06	2	SELLER CONTACT 	販売者の連絡先	0..1	Group																				
ibt-043	3	Seller contact email address	販売者連絡先電子メールアドレス	0..1	Text				antonio@SubscriptionsSeller.dk																
ibg-07	1	BUYER 	発注者	1..1	Group																				
ibt-046	2	Buyer identifier 	発注者コード	0..n	ID					5790000435975															
ibt-046-1	3	Scheme identifier	スキーマ識別子	1..1	Scheme					0088															
ibg-08	2	BUYER POSTAL ADDRESS	発注者の住所	1..1	Group																				
ibt-050	3	Buyer address line 1 	発注者住所欄1	0..1	Text					Anystreet, Building 1															
ibt-052	3	Buyer city	発注者住所 市区町村	0..1	Text					Anytown															
ibt-053	3	Buyer post code	発注者郵便番号	0..1	Text					101															
ibt-055	3	Buyer country code 	発注者国コード	1..1	Code					DK															
ibg-41	2	BUYER TAX REGISTRATION	発注者税登録情報		Group																				
ibt-048	2	Buyer TAX identifier	発注者の適格請求書発行事業者登録番号	0..1	ID					NO987654321MVA															
ibt-048-1	2	Tax Scheme	税スキーマ	0..1	Code					VAT															
ibg-38	2	BUYER LEGAL REGISTRATION	発注者登録情報	0..1	Group																				
ibt-044	3	Buyer name 	発注者名称	1..1	Text					Buyercompany ltd															
ibt-047	3	Buyer legal registration identifier	発注者国際企業コード	0..1	ID					987654321															
ibg-09	2	BUYER CONTACT	発注者の連絡先	0..1	Group																				
ibg-10	1	PAYEE	支払先	0..1	Group																				
ibg-11	1	SELLER TAX REPRESENTATIVE PARTY	販売者の納税管理人	0..1	Group																				
ibg-12	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	納税管理人住所	1..1	Group																				
ibg-43	2	TAX REPRESENTATIVE TAX REGISTRATION	販売者の納税管理人の登録情報		Group																				
ibg-13	1	DELIVERY INFORMATION	納入先	0..1	Group																				
ibg-15	2	DELIVER TO ADDRESS	納入先住所	0..1	Group																				
ibg-16	1	PAYMENT INSTRUCTIONS	支払手段	0..n	Group																				
ibt-081	2	Payment means type code	支払手段タイプコード	1..1	Code						30														
ibt-083	2	Remittance information	送金情報	0..n	Text						Payref1														
ibg-17	2	CREDIT TRANSFER 	銀行振込	0..n	Group																				
ibt-084	3	Payment account identifier	支払先口座番号	1..1	ID							DK1212341234123412													
ibg-34	3	ADDRESS	支払先住所	0..1	Group																				
ibg-18	2	PAYMENT CARD INFORMATION	支払カード情報	0..1	Group																				
ibg-19	2	DIRECT DEBIT 	自動口座引落	0..1	Group																				
ibg-33	1	INVOICE TERMS	支払条件	0..n	Group																				
ibg-35	1	PAID AMOUNTS	支払済金額	0..n	Group																				
ibg-20	1	DOCUMENT LEVEL ALLOWANCES	ドキュメントレベルの返還請求	0..n	Group																				
ibg-21	1	DOCUMENT LEVEL CHARGES	ドキュメントレベルの追加請求	0..n	Group																				
ibt-099a	2	Charge indicator	追加請求フラグ	1..1	Indicator								true												
ibt-104	2	Document level charge reason	ドキュメントレベルの追加請求の理由	0..1	Text								Freight charge												
ibt-099	2	Document level charge amount	ドキュメントレベルの追加請求金額	1..1	Amount								100.00												
ibt-099-1	3	Currency code	通貨コード	1..1	Code								DKK												
ibt-102	2	Document level charge TAX category code	ドキュメントレベルの追加請求の課税分類コード	1..1	Code								S												
ibt-103	2	Document level charge TAX rate	ドキュメントレベルの追加請求の税率	0..1	Percent								25												
ibt-103a	2	Tax Scheme	税スキーマ	0..1	Code								VAT												
ibg-39	1	INVOICE TOTAL TAX	消費税合計金額	0..1	Group																				
ibt-110	2	Invoice total TAX amount	消費税合計金額	1..1	Amount									305.00											
ibt-110-1	3	Currency code	通貨コード	1..1	Code									DKK											
ibg-23	1	TAX BREAKDOWN	消費税内訳情報	1..n	Group																				
ibt-116	2	TAX category taxable amount	課税分類毎の課税基準額	1..1	Amount										900.00	800.00									
ibt-116-1	3	Currency code	通貨コード	1..1	Code										DKK	DKK									
ibt-117	2	TAX category tax amount	課税分類毎の消費税額	1..1	Amount										225.00	80.00									
ibt-117-1	3	Currency code	通貨コード	1..1	Code										DKK	DKK									
ibt-118	2	TAX category code 	課税分類コード	1..1	Code										S	S									
ibt-119	2	TAX category rate	課税分類毎の税率	0..1	Percent										25	10									
ibt-188	2	Tax Scheme	税スキーマ	0..1	Code										VAT	VAT									
ibg-22	1	DOCUMENT TOTALS	請求書総合計金額	1..1	Group																				
ibt-106	2	Sum of Invoice line net amount	明細行金額(税抜)の合計	1..1	Amount												1600.00								
ibt-106-1	3	Currency code	通貨コード	1..1	Code												DKK								
ibt-109	2	Invoice total amount without TAX	請求書合計金額(税抜)	1..1	Amount												1700.00								
ibt-109-1	3	Currency code	通貨コード	1..1	Code												DKK								
ibt-112	2	Invoice total amount with TAX	請求書合計金額(税込)	1..1	Amount												2005.00								
ibt-112-1	3	Currency code	通貨コード	1..1	Code												DKK								
ibt-108	2	Sum of charges on document level	ドキュメントレベルの追加請求の合計	0..1	Amount												100.00								
ibt-108-1	3	Currency code	通貨コード	1..1	Code												DKK								
ibt-115	2	Amount due for payment	未払金額	1..1	Amount												2005.00								
ibt-115-1	3	Currency code	通貨コード	1..1	Code												DKK								
ibg-25	1	INVOICE LINE	明細行	1..n	Group																				
ibt-126	2	Invoice line identifier	明細行番号	1..1	ID													1				2			
ibt-129	2	Invoiced quantity	請求済数量	1..1	Quantity													2				2			
ibt-130	2	Invoiced quantity unit of measure code	請求済数量の数量単位コード	1..1	Code													EA				EA			
ibt-131	2	Invoice line net amount 	明細行金額(税抜)	1..1	Amount													800.00				800.00			
ibt-131-1	3	Currency code	通貨コード	1..1	Code													DKK				DKK			
ibg-26	2	INVOICE LINE PERIOD	明細行の期間	0..1	Group																				
ibg-36	2	Referenced purchase order line reference	発注明細行参照	0..1	Group																				
ibg-27	2	INVOICE LINE ALLOWANCES	明細行の返還請求	0..n	Group																				
ibg-28	2	INVOICE LINE CHARGES	明細行の追加請求	0..n	Group																				
ibg-30	2	LINE TAX INFORMATION	明細行税額情報	1..n	Group																				
ibt-151	3	Invoiced item TAX category code	請求される品目に対する課税分類コード	1..1	Code															S				S	
ibt-152	3	Invoiced item TAX rate	請求される品目に対する税率	0..1	Percent															25				10	
ibt-167	3	Tax Scheme	税スキーマ	0..1	Code															VAT				VAT	
ibg-31	2	ITEM INFORMATION	品目情報	1..1	Group																				
ibt-154	3	Item description 	品目摘要	0..n	Text														Subscription fee 1st quarter				Subscription fee 1st quarter		
ibt-153	3	Item name 	品名	1..1	Text														Paper subscription				Paper subscription		
ibg-32	2	ITEM ATTRIBUTES	品目属性	0..n	Group																				
ibg-29	2	PRICE DETAILS	取引価格詳細	1..1	Group																				
ibt-146	3	Item net price	品目単価(割引後)(税抜)	1..1	Unit																800.00				800.00
ibt-146-1	4	Currency code	通貨コード	1..1	Code																DKK				DKK
