						------	------	ibg-01	ibg-04	ibg-07	ibg-13	ibg-16	ibg-16	ibg-39	ibg-23	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
								請求書注釈	販売者	発注者	納入先	支払手段	支払手段	消費税合計金額	消費税内訳情報	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	-	0	-	-	-	0	0	-	0	1	-	0	0	0	0	1	1	1	1	2	2	2	2
						------	------	------	------	------	------	------	ibg-17	------	------	------	------	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29
													銀行振込						品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細
						-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	0	-	-	-	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																								
ibt-024	2	Specification identifier	仕様識別子	1..1	ID		urn:cen.eu:en16931:2017																						
ibt-001	1	Invoice number 	請求書番号	1..1	ID		TOSL110																						
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date		2013-04-10																						
ibt-009	1	Payment due date 	支払期日	0..1	Date		2013-05-10																						
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code		380																						
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																								
ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text			Ordered through our website																					
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code																								
ibg-14	1	INVOICING PERIOD 	請求期間	0..1	Group																								
ibt-013	1	Purchase order reference	購買発注参照	0..1	REF																								
ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group																								
ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group																								
ibg-04	1	SELLER	販売者	1..1	Group																								
ibt-029	2	Seller identifier 	販売者コード	0..n	ID				5790000436101																				
ibt-029-1	3	Scheme identifier	スキーマ識別子	1..1	Scheme				0088																				
ibg-05	2	SELLER POSTAL ADDRESS	販売者の住所	1..1	Group																								
ibt-035	3	Seller address line 1 	販売者住所欄1	0..1	Text				Main street 2, Building 4																				
ibt-037	3	Seller city	販売者住所 市区町村	0..1	Text				Big city																				
ibt-038	3	Seller post code	販売者郵便番号	0..1	Text				54321																				
ibt-040	3	Seller country code 	販売者国コード	1..1	Code				DK																				
ibg-42	2	SELLER TAX REGISTRATION	販売者VAT登録情報		Group																								
ibt-031	3	Seller TAX identifier	販売者 TAX ID	0..1	ID				DK16356706																				
ibt-031-1	3	Tax Scheme	税スキーマ	0..1	Code				VAT																				
ibg-40	2	SELLER TAX REGISTRATION	販売者TAX登録情報		Group																								
ibg-37	2	SELLER LEGAL REGISTRATION	販売者登録情報	0..1	Group																								
ibt-027	3	Seller name	販売者名称	1..1	Text				SellerCompany																				
ibt-030	3	Seller legal registration identifier	販売者国際企業コード	0..1	ID				DK16356706																				
ibg-06	2	SELLER CONTACT 	販売者の連絡先	0..1	Group																								
ibt-041	3	Seller contact point 	販売者連絡先	0..1	Text				Anthon Larsen																				
ibt-042	3	Seller contact telephone number	販売者連絡先電話番号	0..1	Text				+4598989898																				
ibt-043	3	Seller contact email address	販売者連絡先電子メールアドレス	0..1	Text				antonio@SubscriptionsSeller.dk																				
