,,,,,ibg-23,ibg-23,ibg-23,ibg-23,ibg-24,ibg-24,ibg-25,ibg-25,ibg-25
,,,,,TAX BREAKDOWN,TAX BREAKDOWN,TAX BREAKDOWN,TAX BREAKDOWN,ADDITIONAL SUPPORTING DOCUMENTS,ADDITIONAL SUPPORTING DOCUMENTS,INVOICE LINE,INVOICE LINE,INVOICE LINE
,,,,,0,1,1,1,0,1,0,1,2
,,,,,,,ibg-38,ibg-38,,,,,
,,,,,,,TAX BREAKDOWN IN ACCOUNTING CURRENCY,TAX BREAKDOWN IN ACCOUNTING CURRENCY,,,,,
,,,,,,,0,1,,,,,
ibt-001,1,1..1,Invoice number,TOSL110,,,,,,,,,
ibt-002,1,1..1,Invoice issue date ,2013-04-10,,,,,,,,,
ibt-003,1,1..1,Invoice type code ,380,,,,,,,,,
ibt-005,1,1..1,Invoice currency code,DKK,,,,,,,,,
ibt-006,1,0..1,Tax accounting currency,JPY,,,,,,,,,
ibt-009,1,0..1,Payment due date ,2013-05-10,,,,,,,,,
ibt-010,1,0..1,Buyer reference ,qwerty,,,,,,,,,
ibt-011,1,0..1,Project reference,Project345,,,,,,,,,
ibt-012,1,0..1,Contract reference ,2013-05,,,,,,,,,
ibt-013,1,0..1,Purchase order reference,PO4711,,,,,,,,,
ibt-014,1,0..1,Sales order reference,123,,,,,,,,,
ibt-015,1,0..1,Receiving advice reference,3544,,,,,,,,,
ibt-016,1,0..n,Despatch advice reference,5433,,,,,,,,,
ibt-017,1,0..1,Tender or lot reference,Lot567,,,,,,,,,
ibt-019,1,0..1,Buyer accounting reference,67543,,,,,,,,,
ibg-33,1,0..n,INVOICE TERMS,,,,,,,,,,
ibt-020,2,0..1,Payment terms,"50% prepaid, 50% within one month",,,,,,,,,
ibg-01,1,0..n,INVOICE NOTE,,,,,,,,,,
ibt-021,2,0..1,Invoice note subject code,,,,,,,,,,
ibt-022,2,0..1,Invoice note,Ordered through our website #Ordering information,,,,,,,,,
ibg-02,1,1..1,PROCESS CONTROL,,,,,,,,,,
ibt-023,2,0..1,Business process type,1,,,,,,,,,
ibt-024,2,1..1,Specification identifier,urn:peppol:pint:billing-3.0@jp:peppol-1,,,,,,,,,
ibg-03,1,0..n,PRECEDING INVOICE REFERENCE,,,,,,,,,,
ibt-025,2,1..1,Preceding Invoice reference,TOSL109,,,,,,,,,
ibt-026,2,0..1,Preceding Invoice issue date,2013-03-10+12:34,,,,,,,,,
ibg-04,1,1..1,SELLER,,,,,,,,,,
ibt-027,2,1..1,Seller name,SellerCompany,,,,,,,,,
ibt-028,2,0..1,Seller trading name,SelCo,,,,,,,,,
ibt-029,2,0..n,Seller identifier ,5790000436101,,,,,,,,,
ibt-029-1,3,0..1,Scheme identifier,0088,,,,,,,,,
ibt-030,2,0..1,Seller legal registration identifier,NL16356706,,,,,,,,,
ibt-031,2,0..1,Seller TAX identifier,T123456789012,,,,,,,,,
ibt-031-2,3,1..1,Tax scheme,VAT,,,,,,,,,
ibt-032,2,0..1,Seller TAX registration identifier,T123456789012,,,,,,,,,
ibt-033,2,0..1,Seller additional legal information,Export,,,,,,,,,
ibt-034,2,0..1,Seller electronic address,info@selco.nl,,,,,,,,,
ibt-034-1,3,1..1,Scheme identifier,EM,,,,,,,,,
ibg-05,1,1..1,SELLER POSTAL ADDRESS,,,,,,,,,,
ibt-035,3,0..1,Seller address line 1 ,Hoofdstraat 4,,,,,,,,,
ibt-036,3,0..1,Seller address line 2,Om de hoek,,,,,,,,,
ibt-037,3,0..1,Seller city,Grootstad,,,,,,,,,
ibt-038,3,0..1,Seller post code,54321,,,,,,,,,
ibt-039,3,0..1,Seller country subdivision ,Overijssel,,,,,,,,,
ibt-040,3,1..1,Seller country code ,NL,,,,,,,,,
ibg-06,2,0..1,SELLER CONTACT ,,,,,,,,,,
ibt-041,3,0..1,Seller contact point ,Anthon Larsen,,,,,,,,,
ibt-042,3,0..1,Seller contact telephone number,+3198989898,,,,,,,,,
ibt-043,3,0..1,Seller contact email address,Anthon@Selco.nl,,,,,,,,,
ibg-07,1,1..1,BUYER ,,,,,,,,,,
ibt-044,2,1..1,Buyer name ,Buyercompany ltd,,,,,,,,,
ibt-045,2,0..1,Buyer trading name,Buyco,,,,,,,,,
ibt-046,2,0..n,Buyer identifier ,5790000436057,,,,,,,,,
ibt-046-1,3,0..1,Scheme identifier,0088,,,,,,,,,
ibt-047,2,0..1,Buyer legal registration identifier,DK16356607,,,,,,,,,
ibt-048,2,0..1,Buyer TAX identifier,DK16356607,,,,,,,,,
ibt-049,2,0..1,Buyer electronic address,info@buyercompany.dk,,,,,,,,,
ibt-049-1,3,1..1,Scheme identifier,EM,,,,,,,,,
ibg-08,2,1..1,BUYER POSTAL ADDRESS,,,,,,,,,,
ibt-050,3,0..1,Buyer address line 1 ,"Anystreet, Building 1",,,,,,,,,
ibt-051,3,0..1,Buyer address line 2,5th floor,,,,,,,,,
ibt-052,3,0..1,Buyer city,Anytown,,,,,,,,,
ibt-053,3,0..1,Buyer post code,101,,,,,,,,,
ibt-054,3,0..1,Buyer country subdivision ,Jutland,,,,,,,,,
ibt-055,3,1..1,Buyer country code ,DK,,,,,,,,,
ibg-09,2,0..1,BUYER CONTACT,,,,,,,,,,
ibt-056,3,0..1,Buyer contact point ,John Hansen,,,,,,,,,
ibt-057,3,0..1,Buyer contact telephone number,+4598989898,,,,,,,,,
ibt-058,3,0..1,Buyer contact email address,john.hansen@buyercompany.dk,,,,,,,,,
ibg-10,1,0..1,PAYEE,,,,,,,,,,
ibt-059,2,1..1,Payee name ,Dagobert Duck,,,,,,,,,
ibt-060,2,0..1,Payee identifier ,DK16356608,,,,,,,,,
ibt-061,2,0..1,Payee legal registration identifier,DK16356608,,,,,,,,,
ibg-11,1,0..1,SELLER TAX REPRESENTATIVE PARTY,,,,,,,,,,
ibt-062,2,1..1,Seller tax representative name,Dick Panama,,,,,,,,,
ibt-063,2,1..1,Seller tax representative TAX identifier,DK16356609,,,,,,,,,
ibg-12,2,1..1,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,,,,,,,,,,
