						------	ibg-01	ibg-14	ibg-24	ibg-04	ibg-07	ibg-13	ibg-16	ibg-16	ibg-33	ibg-39	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
							請求書注釈	請求期間	添付書類	販売者	発注者	納入先	支払手段	支払手段	支払条件	消費税合計金額	消費税内訳情報	請求書総合計金額	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行	明細行
						-	0	-	0	-	-	-	0	0	0	-	0	-	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	7	7	7	7	8	8	8	8	9	9	9	9
						------	------	------	------	------	------	------	------	ibg-17	------	------	------	------	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-32	ibg-32	ibg-32	ibg-32	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29	------	ibg-31	ibg-30	ibg-29
														銀行振込						品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	品目属性	品目属性	品目属性	品目属性	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細		品目情報	明細行税額情報	取引価格詳細
						-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	0	0	1	2	3	-	-	-	0	1	2	3	4	-	-	-	0	1	2	3	4	-	-	-	0	1	2	3	4	-	-	-	0	1	2	3	4	-	-	-	0	1	2	3	4	-	-	-	0	-	-	-	0	-	-	-	0	-	-	-	0	-
ibg-02	1	PROCESS CONTROL	プロセスコントロール	1..1	Group																																																																													
ibt-024	2	Specification identifier	仕様識別子	1..1	ID	urn:cen.eu:en16931:2017																																																																												
ibt-001	1	Invoice number 	請求書番号	1..1	ID	1100512149																																																																												
ibt-002	1	Invoice issue date 	請求書発行日	1..1	Date	2014-11-10																																																																												
ibt-009	1	Payment due date 	支払期日	0..1	Date	2014-11-24																																																																												
ibt-003	1	Invoice type code 	請求書タイプコード	1..1	Code	380																																																																												
ibg-01	1	INVOICE NOTE	請求書注釈	0..n	Group																																																																													
ibt-021	2	Invoice note subject code	請求書注釈表題コード	0..1	Text		"Periodieke afrekening
        U vindt een toelichting op uw factuur via www.enexis.nl/factuur_grootzakelijk
        Op alle diensten en overeenkomsten zijn de algemene voorwaarden aansluiting en
        transport grootverbruik elektriciteit, respectievelijk gas van toepassing
        www.enexis.nl"																																																																											
ibt-007	1	TAX point date	課税基準日	0..1	Date	2013-06-30																																																																												
ibt-005	1	Invoice currency code	請求書通貨コード	1..1	Code	EUR																																																																												
ibg-14	1	INVOICING PERIOD 	請求期間	0..1	Group																																																																													
ibt-073	2	Invoicing period start date	請求期間開始日	0..1	Date			2014-08-01																																																																										
ibt-074	2	Invoicing period end date	請求期間終了日	0..1	Date			2014-08-31																																																																										
ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	0..n	Group																																																																													
ibg-24	1	ADDITIONAL SUPPORTING DOCUMENTS	添付書類	0..n	Group																																																																													
ibt-018	2	Invoiced object identifier	請求済みオブジェクト識別子	0..1	ID				871694831000290806																																																																									
ibt-123	2	Supporting document description	添付書類のタイプコード	0..1	Text				ATS																																																																									
ibg-04	1	SELLER	販売者	1..1	Group																																																																													
ibt-028	2	Seller trading name	販売者の商号	0..1	Text					Enexis																																																																								
ibg-05	2	SELLER POSTAL ADDRESS	販売者の住所	1..1	Group																																																																													
ibt-035	3	Seller address line 1 	販売者住所欄1	0..1	Text					Magistratenlaan 116																																																																								
ibt-037	3	Seller city	販売者住所 市区町村	0..1	Text					'S-HERTOGENBOSCH																																																																								
ibt-038	3	Seller post code	販売者郵便番号	0..1	Text					5223MB																																																																								
ibt-040	3	Seller country code 	販売者国コード	1..1	Code					NL																																																																								
ibg-42	2	SELLER TAX REGISTRATION	販売者VAT登録情報		Group																																																																													
ibt-031	3	Seller TAX identifier	販売者 TAX ID	0..1	ID					NL809561074B01																																																																								
ibt-032-1	3	Tax Scheme	税スキーマ	0..1	Code					VAT																																																																								
ibg-37	2	SELLER LEGAL REGISTRATION	販売者登録情報	0..1	Group																																																																													
ibt-027	3	Seller name	販売者名称	1..1	Text					Enexis B.V.																																																																								
ibt-030	3	Seller legal registration identifier	販売者国際企業コード	0..1	ID					17131139																																																																								
ibg-06	2	SELLER CONTACT 	販売者の連絡先	0..1	Group																																																																													
ibt-043	3	Seller contact email address	販売者連絡先電子メールアドレス	0..1	Text					klantenservice.zakelijk@enexis.nl																																																																								
ibg-07	1	BUYER 	発注者	1..1	Group																																																																													
ibt-046	2	Buyer identifier 	発注者コード	0..n	ID						1081119																																																																							
ibg-08	2	BUYER POSTAL ADDRESS	発注者の住所	1..1	Group																																																																													
ibt-050	3	Buyer address line 1 	発注者住所欄1	0..1	Text						Bedrijfslaan 4																																																																							
ibt-052	3	Buyer city	発注者住所 市区町村	0..1	Text						ONDERNEMERSTAD																																																																							
ibt-053	3	Buyer post code	発注者郵便番号	0..1	Text						9999 XX																																																																							
ibt-055	3	Buyer country code 	発注者国コード	1..1	Code						NL																																																																							
ibg-41	2	BUYER TAX REGISTRATION	発注者税登録情報		Group																																																																													
ibg-38	2	BUYER LEGAL REGISTRATION	発注者登録情報	0..1	Group																																																																													
ibt-044	3	Buyer name 	発注者名称	1..1	Text						Klant																																																																							
ibg-09	2	BUYER CONTACT	発注者の連絡先	0..1	Group																																																																													
