SemanticSort	ID	BusinessTerm	Level	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
1230	ibg-02	PROCESS CONTROL	1	プロセスコントロール	1..1	Group	1000	/
1250	ibt-024	Specification identifier	2	仕様識別子	1..1	ID	1010	/Invoice/cbc:CustomizationID
1240	ibt-023	Business process type	2	ビジネスプロセスタイプ	0..1	Text	1020	/Invoice/cbc:ProfileID
1000	ibt-001	Invoice number 	1	請求書番号	1..1	ID	1030	/Invoice/cbc:ID
1010	ibt-002	Invoice issue date 	1	請求書発行日	1..1	Date	1040	/Invoice/cbc:IssueDate
1015	ibt-168	Invoice issue time	1	請求書発行時刻	0..1	Time	1050	/Invoice/cbc:IssueTime
1070	ibt-009	Payment due date 	1	支払期日	0..1	Date	1060	/Invoice/cbc:DueDate
1020	ibt-003	Invoice type code 	1	請求書タイプコード	1..1	Code	1070	/Invoice/cbc:InvoiceTypeCode
1200	ibg-01	INVOICE NOTE	1	請求書注釈	0..n	Group	1080	/
1210	ibt-021	Invoice note subject code	2	請求書注釈表題コード	0..1	Text	1090	/Invoice/cbc:Note
1220	ibt-022	Invoice note	2	請求書注釈内容	0..1	Text	1100	/Invoice/cbc:Note
1050	ibt-007	TAX point date	1	課税基準日	0..1	Date	1110	/Invoice/cbc:TaxPointDate
1030	ibt-005	Invoice currency code	1	請求書通貨コード	1..1	Code	1120	/Invoice/cbc:DocumentCurrencyCode
1040	ibt-006	Tax accounting currency.	1	税会計報告用通貨コード	0..1	Code	1130	/Invoice/cbc:TaxCurrencyCode
1180	ibt-019	Buyer accounting reference	1	発注者会計参照	0..1	Text	1140	/Invoice/cbc:AccountingCost
1080	ibt-010	Buyer reference 	1	発注者参照	0..1	Text	1150	/Invoice/cbc:BuyerReference
1970	ibg-14	INVOICING PERIOD 	1	請求期間	0..1	Group	1160	/Invoice/cac:InvoicePeriod
1980	ibt-073	Invoicing period start date	2	請求期間開始日	0..1	Date	1170	/Invoice/cac:InvoicePeriod/cbc:StartDate
1990	ibt-074	Invoicing period end date	2	請求期間終了日	0..1	Date	1180	/Invoice/cac:InvoicePeriod/cbc:EndDate
1060	ibt-008	TAX point date code	1	課税基準日コード	0..1	Code	1190	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode
1110	ibt-013	Purchase order reference	1	購買発注参照	0..1	REF	1200	/Invoice/cac:OrderReference/cbc:ID
1120	ibt-014	Sales order reference	1	受注参照	0..1	REF	1210	/Invoice/cac:OrderReference/cbc:SalesOrderID
1260	ibg-03	PRECEDING INVOICE REFERENCE	1	先行請求書への参照	0..n	Group	1220	/Invoice/cac:BillingReference
1270	ibt-025	Preceding Invoice reference	2	先行請求書参照	1..1	REF	1230	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID
1280	ibt-026	Preceding Invoice issue date	2	先行請求書発行日	0..1	Date	1240	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate
1140	ibt-016	Despatch advice reference	1	出荷案内書(納品書)参照	0..n	REF	1250	/Invoice/cac:DespatchDocumentReference/cbc:ID
1130	ibt-015	Receiving advice reference	1	受取通知書(検収書)参照	0..1	REF	1260	/Invoice/cac:ReceiptDocumentReference/cbc:ID
1150	ibt-017	Tender or lot reference	1	入札又はロット参照	0..1	REF	1270	/Invoice/cac:OriginatorDocumentReference/cbc:ID
1100	ibt-012	Contract reference 	1	契約書参照	0..1	REF	1280	/Invoice/cac:ContractDocumentReference/cbc:ID
2570	ibg-24	ADDITIONAL SUPPORTING DOCUMENTS	1	添付書類	0..n	Group	1290	/Invoice/cac:AdditionalDocumentReference
2580	ibt-122	Supporting document reference	2	添付書類への参照	1..1	REF	1300	/Invoice/cac:AdditionalDocumentReference/cbc:ID
2585	ibt-018-1	Scheme identifier	2	請求済みオブジェクト識別子のスキーマの識別子	1..1	Scheme	1310	/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID
1160	ibt-018	Invoiced object identifier	1	請求済みオブジェクト識別子	0..1	ID	1320	/Invoice/cac:AdditionalDocumentReference/cbc:ID
2590	ibt-123	Supporting document description	2	添付書類の説明	0..1	Text	1330	/Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription
2610	ibt-125	Attached document	2	添付書類	0..1	Binary	1340	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
2620	ibt-125-1	Attached document Mime code	3	添付書類MIMEコード	1..1	Scheme	1350	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode
2630	ibt-125-2	Attached document Filename	3	添付書類ファイル名	1..1	Scheme	1360	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename
2600	ibt-124	External document location	2	添付書類の保管場所(外部)	0..1	Text	1370	/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
1090	ibt-011	Project reference 	1	プロジェクト参照	0..1	REF	1380	/Invoice/cac:ProjectReference/cbc:ID
1290	ibg-04	SELLER	1	販売者	1..1	Group	1390	/Invoice/cac:AccountingSupplierParty
1400	ibt-034	Seller electronic address	2	販売者電子アドレス	0..1	ID	1400	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
1410	ibt-034-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	1410	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID
1330	ibt-029	Seller identifier 	2	販売者コード	0..n	ID	1420	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
1340	ibt-029-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	1430	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
2210	ibt-090	Bank assigned creditor identifier	2	銀行が割り当てた債権者識別子	0..1	ID	1440	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
1320	ibt-028	Seller trading name	2	販売者の商号	0..1	Text	1450	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
1415	ibg-05	SELLER POSTAL ADDRESS	2	販売者の住所	1..1	Group	1460	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress
1420	ibt-035	Seller address line 1 	3	販売者住所欄1	0..1	Text	1470	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
1430	ibt-036	Seller address line 2	3	販売者住所欄2	0..1	Text	1480	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
1450	ibt-037	Seller city	3	販売者住所 市区町村	0..1	Text	1490	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
1460	ibt-038	Seller post code	3	販売者郵便番号	0..1	Text	1500	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
1470	ibt-039	Seller country subdivision 	3	販売者住所 都道府県	0..1	Text	1510	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
1440	ibt-162	Seller address line 3	3	販売者住所欄3	0..1	Text	1520	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
1480	ibt-040	Seller country code 	3	販売者国コード	1..1	Code	1530	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
1370	ibg-42		2	販売者VAT登録情報		Group	1540	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme
1370	ibt-031	Seller TAX identifier	3	販売者 TAX ID	0..1	ID	1540	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
1375	ibt-031-1	Tax Scheme	3	税スキーマ	0..1	Code	1610	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
1380	ibg-40		2	販売者TAX登録情報		Group	1580	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme
1380	ibt-032	Seller TAX registration identifier	3	販売者の適格請求書発行事業者登録番号	0..1	ID	1580	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
1385	ibt-032-1	Tax Scheme	3	税スキーマ	0..1	Code	1610	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
1310	ibg-37	SELLER LEGAL REGISTRATION	2	販売者登録情報	0..1	Group	1620	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity
1310	ibt-027	Seller name	3	販売者名称	1..1	Text	1630	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
1350	ibt-030	Seller legal registration identifier	3	販売者国際企業コード	0..1	ID	1640	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
1360	ibt-030-1	Scheme identifier	4	スキーマ識別子	1..1	Scheme	1650	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
1390	ibt-033	Seller additional legal information	3	販売者追加法的情報	0..1	Text	1670	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
1490	ibg-06	SELLER CONTACT 	2	販売者の連絡先	0..1	Group	1680	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact
1500	ibt-041	Seller contact point 	3	販売者連絡先	0..1	Text	1690	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name
1510	ibt-042	Seller contact telephone number	3	販売者連絡先電話番号	0..1	Text	1700	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone
1520	ibt-043	Seller contact email address	3	販売者連絡先電子メールアドレス	0..1	Text	1710	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail
1530	ibg-07	BUYER 	1	発注者	1..1	Group	1720	/Invoice/cac:AccountingCustomerParty
1610	ibt-049	Buyer electronic address	2	発注者の電子アドレス	0..1	ID	1730	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID
1620	ibt-049-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	1740	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID
1560	ibt-046	Buyer identifier 	2	発注者コード	0..n	ID	1750	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
1570	ibt-046-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	1760	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
1550	ibt-045	Buyer trading name	2	発注者の商号	0..1	Text	1770	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
1630	ibg-08	BUYER POSTAL ADDRESS	2	発注者の住所	1..1	Group	1780	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress
1640	ibt-050	Buyer address line 1 	3	発注者住所欄1	0..1	Text	1790	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName
1650	ibt-051	Buyer address line 2	3	発注者住所欄2	0..1	Text	1800	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
1670	ibt-052	Buyer city	3	発注者住所 市区町村	0..1	Text	1810	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName
1680	ibt-053	Buyer post code	3	発注者郵便番号	0..1	Text	1820	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone
1690	ibt-054	Buyer country subdivision 	3	発注者住所 都道府県	0..1	Text	1830	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
1660	ibt-163	Buyer address line 3	3	発注者住所欄3	0..1	Text	1840	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
1700	ibt-055	Buyer country code 	3	発注者国コード	1..1	Code	1850	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
1600	ibg-41	BUYER TAX REGISTRATION	2	発注者税登録情報		Group	1860	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme
1600	ibt-048	Buyer TAX identifier	2	発注者の適格請求書発行事業者登録番号	0..1	ID	1870	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
1605	ibt-048-1	Tax Scheme	2	税スキーマ	0..1	Code	1880	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
1540	ibg-38	BUYER LEGAL REGISTRATION	2	発注者登録情報	0..1	Group	1890	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity
1540	ibt-044	Buyer name 	3	発注者名称	1..1	Text	1900	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
1580	ibt-047	Buyer legal registration identifier	3	発注者国際企業コード	0..1	ID	1910	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
1590	ibt-047-1	Scheme identifier	4	スキーマ識別子	1..1	Scheme	1920	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
1710	ibg-09	BUYER CONTACT	2	発注者の連絡先	0..1	Group	1940	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact
1720	ibt-056	Buyer contact point 	3	発注者連絡先	0..1	Text	1950	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
1730	ibt-057	Buyer contact telephone number	3	発注者連絡先電話番号	0..1	Text	1960	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
1740	ibt-058	Buyer contact email address	3	発注者連絡先電子メールアドレス	0..1	Text	1970	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail
1750	ibg-10	PAYEE	1	支払先	0..1	Group	1980	/Invoice/cac:PayeeParty
1770	ibt-060	Payee identifier 	2	支払先コード	0..1	ID	1990	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID
1780	ibt-060-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	2000	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID
