
 CII	BRS : Cross Industry Invoicing Process				 	Header section				 
 	Grouping of Document Details				 
INV-0001	1..1	Invoice identifier	A unique identification for this document.		Exchanged_ Document. Identification. Identifier 
INV-0002	1..1	Issue date	The date, time, date time or other date time value for the issuance of this document.		Exchanged_ Document. Issue. Date Time 
INV-0003	0..1	Document type code	A code specifying a type of document [Reference United Nations Code List (UNCL) 1001 (subset)].	"Specifying the type of the invoice, e.g.:  Commercial invoice   Self-billed invoice   Proforma invoice   Corrected invoice   Credit note – goods and services   Debit note – goods and services   Credit note related to financial adjustments   Debit note related to financial adjustments   Self-billed credit note "	Exchanged_ Document. Type. Code	 					 
INV-0007	0..1	Document Purpose	The purpose, expressed as code, of this document (e.g. Repair Invoice).	"Exchanged Document Category"	Exchanged_ Document. Purpose. Code 
INV-0008	0..1	Document Purpose Information	The purpose, expressed in text, of this document.	Renamed, formerly “Document Information”	Exchanged_ Document. Purpose. Text 
INV-0011	0..1	Document Control Requirement	The indication of whether or not a document has specific control requirements.		Exchanged_ Document. Control Requirement. Indicator 
INV-0313	0..1	Test indicator	The indication of whether or not this exchanged document context is a test.	Added in 16A.1.	Exchanged Document_ Context. Test. Indicator 
INV-0314	0..1	Effective Specified Period	The specified period within which this exchanged document is effective.	Added in 16A.1.	Exchanged_ Document. Effective. Specified_ Period 					 	For additional requirements on document details please refer to CSC-DOC.				 	Grouping of Header Trade Agreement				 
INV-0016	0..1	Seller	The entity contains the details of the seller.	Further details specified in Common BRS (CSC-PAR)	Header_ Trade Agreement. Seller. Trade_ Party 
INV-0017	0..1	Buyer	The entity contains the details of the buyer.	Further details specified in Common BRS (CSC-PAR)	Header_ Trade Agreement. Buyer. Trade_ Party 
INV-0018	0..1	Buyer´s tax representative	The entity contains the details of the tax representative of the buyer.	"Split into Seller and Buyer (see INV-00250) within TBG1 review, originally tax representative, not specified. Details see CSC- PAR"	Header_ Trade Agreement. Buyer_ Tax Representative. Trade_ Party 
INV-0250	0..1	Seller´s tax representative	The entity contains the details of the tax representative of the seller.	"See previous note. Details see CSC-PAR"	Header_ Trade Agreement. Seller_ Tax Representative. Trade_ Party 
INV-0019	0..1	Buyer accountant	"The entity contains the details of the customer accountant."	Changed from Customer to Buyer within TBG1 review. Details see CSC- PAR	Header_ Trade Agreement. Buyer_ Assigned Accountant. Trade_ Party 
INV-0020	0..1	Seller accountant	The entity contains the details of the supplier accountant.	Changed from Supplier to Seller within TBG1 review. Details see CSC-PAR	Header_ Trade Agreement. Seller_ Assigned Accountant. Trade_ Party 
INV-0289	0..*	Requisitioner	A trade party who is a buyer requisitioner in this trade agreement.	"Added during CEFACT Forum Rome by TBG1, 22-Apr-2009 Details see CSC- PAR"	Header_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party
 					 
INV-0021	0..1	Contract document	Reference to contract or agreement document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Contract. Referenced_ Document 
INV-0022	0..1	Quotation document	Reference to quotation document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Quotation. Referenced_ Document 
INV-0023	0..1	Order document (buyer)	Reference to order document of the buyer (reference, issue date, involved parties, etc.)	Buyer added within TBG 1 review. Details see CSC-REF	Header_ Trade Agreement. Buyer_ Order. Referenced_ Document 
INV-0251	0..1	Order document (Seller)	Reference to order document of the seller (reference, issue date, involved parties, etc.)	Added in addition to 
INV-0023 within TBG 1 review. Details see CSC-REF	Header_ Trade Agreement. Seller_ Order. Referenced_ Document 
INV-0024	0..1	Order Response document	Reference to order response document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Order Response. Referenced_ Document 
INV-0025	0..1	Promotional Deal document	Reference to promotional deal document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Promotional Deal. Referenced_ Document 
INV-0026	0..1	Price list document	"Reference to price list document (reference, issue date, involved parties, etc.)"	Details see CSC- REF	Header_ Trade Agreement. Price List. Referenced_ Document 
INV-0027	0..1	Supply instruction document	Reference to supply instruction document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Supply Instruction. Referenced_ Document 
INV-0028	0..1	Demand forecast document	Reference to demand forecast document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Agreement. Demand Forecast. Referenced_ Document 
INV-0291	0..*	Requisitioner reference	"The requisitioner document referenced in this supply chain trade agreement."	"Added during CEFACT Forum Rome by TBG1, 22-Apr-2009 Details see CSC- REF"	Header_ Trade Agreement. Requisitioner. Referenced_ Document 
INV-0030	0..1	Purchase Conditions	Reference to purchase conditions	Details see CSC- Added in 16A.1	Header_ Trade Agreement. Purchase_ Conditions Referenced_ Document 
INV-0031	0..*	Additional document reference	"Reference to an additional document (reference, issue date, involved parties, etc.)"	Details see CSC- REF	Header_ Trade Agreement. Additional. Referenced_ Document 
INV-0032	0..1	Additional document type	A code specifying a type of referenced document [Reference United Nations Code List (UNCL) 1153].	"Cardinality changed from 0..* to 0..1 as it refers to 
INV- 0031."	Referenced_ Document. Reference_ Type. Code 					 
INV-0033	0..1	Delivery terms	The entity contains the details of the delivery terms and the place if relevant for the delivery terms.	"Includes reference to INCOTERMS"	Header_ Trade Agreement. Applicable. Trade_ Delivery Terms 
INV-311	0..1	Procuring Project	An endeavour carefully planned to achieve a procurement of goods, works and service.	Added in 16A.	Header_ Trade Agreement. Specified. Procuring_ Project 
INV-0315	0..1	Product End User	"The party acting as the end user for the products in this trade agreement."	Added in 16A.1	Header_ Trade Agreement. Product End User. Trade_ Party 
INV-0319	0..*	Reference Text	A reference, expressed as text, for this header trade agreement.	Added in 16A.1	Header_ Trade Agreement. Reference. Text 
INV-0320	0..*	Customer Order reference	A customer order document referenced for this header trade agreement.	Postponed	 					 	Grouping of Header Trade Delivery Details				 
INV-0034	0..1	Delivery date, actual	Date/time on which goods or consignment are delivered at their destination.	Also applicable for service completion date. Includes also the indication of delivery periods.	Header_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event 
INV-0035	0..1	Pick Up date, actual	Pick-up/collection date/time of goods		Header_ Trade Delivery. Actual_ Pick- Up. Supply Chain_ Event 
INV-0036	0..1	Despatch Date, actual	Date/time on which the goods are despatched or shipped.	"Changed to actual during TBG1 review."	Header_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event 
INV-0038	0..*	Despatch advice document	Reference to despatch advice document (reference, issue date, involved parties, etc.)	Details see CSC- REF	Header_ Trade Delivery. Despatch Advice. Referenced_ Document 
INV-0039	0..*	Receiving advice document	Reference to receiving advice document (reference, issue date, etc.)	Cardinality changed in TBG1 review. Details see CSC-REF	Header_ Trade Delivery. Receiving Advice. Referenced_ Document 
INV-0040	0..*	Delivery note document	Reference to delivery note document (reference, issue date, etc.)	Cardinality changed in TBG1 review. Details see CSC-REF	Header_ Trade Delivery. Delivery Note. Referenced_ Document 
INV-0041	0..*	Additional document reference	Reference to additional document (reference, issue date, involved parties, etc.)	e.g., packing list, waybill, bill of lading, consumption report also customs documents like export/import license, goods or services	Header_ Trade Delivery. Additional. Referenced_ Document 
 				declaration, etc. Details see CSC- REF	 
INV-0042	0..1	Additional document type	"A code specifying a type of additional document [Reference United Nations Code List (UNCL) 1153]."	"Cardinality changed from 0..* to 0..1 as it refers to 
INV- 0041."	Referenced_ Document. Reference_ Type. Code 
INV-0043	0..1	Ship to party	The party where the goods or services were delivered or where the service was completed.	Details see CSC- PAR	Header_ Trade Delivery. Ship To. Trade_ Party 
INV-0044	0..1	Ship from party	Party where goods or services are shipped from.	Details see CSC- PAR	Header_ Trade Delivery. Ship From. Trade_ Party 
INV-0045	0..1	Pick up party	Party/Place were goods were picked up by the buyer or his representative	Details see CSC- PAR	Header_ Trade Delivery. Actual_ Pick- Up. Supply Chain_ Event / Supply Chain_ Event. Occurrence. Logistics_ Location 
INV-0046	0..1	Consignor party	Party which, by contract with a carrier, consigns or sends goods with the carrier, or has them conveyed by him. Synonym: shipper, sender.	Details see CSC- PAR	Supply Chain_ Consignment. Consignor. Trade_ Party 
INV-0047	0..1	Consignee party	Party to which goods are consigned.	Details see CSC- PAR	Supply Chain_ Consignment. Consignee. Trade_ Party 
INV-0048	0..1	Ultimate Consignee	Party who has been designated on the invoice or packing list as the final recipient of the stated merchandise.	"Used in cross- docking scenarios Details see CSC-PAR"	Header_ Trade Delivery. Ultimate_ Ship To. Trade_ Party 
