num	行番号	ヘッダ/明細	国連CEFACT BIE辞書ID番号	項目種	DictionaryEntryName	"項目名 =SUBSTITUTE(G1,CHAR(10),"""")"	項目定義	繰返し	補足１	補足２	補足３	制定/改定	非公開	中小基本必須	適格請求書対応	情報項目名	備考
1	1	ヘッダ部		MA	SME_ Invoice	請求メッセージ	受注者が発注者に通知する納品書／請求書 等の請求情報文書（メッセージ）。	−									
1_2	2	ヘッダ部	UN01005479	ASMA	CI_ Exchanged Document_ Context. Details	取引設定クラス	メッセージの設定内容に関する情報からなるクラス	1..1				v1					
1_2_3	3	ヘッダ部	UN01005480	BBIE	CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier	取引識別子	メッセージがやり取りされる取引番号	0..1				v1	△				
1_2_4	4	ヘッダ部	UN01012746	BBIE	CI_ Exchanged Document_ Context. Processing_ Transaction. Date  Time	処理日時	メッセージがやり取りされる日時	0..1	日時様式			v1/v2	△				
1_2_6	5	ヘッダ部	UN01005481	ASBIE	CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter	取引設定内容/取引プロセスアソシエーショ ン	取引設定内容の取引プロセスに関する情報	1..1				v1					
1_2_6_0	6	ヘッダ部	UN01005471	ABIE	CI_ Document Context_ Parameter. Details	取引プロセス設定クラス	取引プロセスに関する情報のクラス	-				v1					
1_2_6_7	7	ヘッダ部	UN01005472	BBIE	CI_ Document Context_ Parameter. Identification. Identifier	取引プロセス識別子	取引プロセスの識別子(ID)	1..1				v1	△			データ区分	＊
1_2_6_8	8	ヘッダ部	UN01005473	BBIE	CI_ Document Context_ Parameter. Value. Text	取引プロセス名	取引プロセスの名称	0..1				v1	△				
1_2_6_10	9	ヘッダ部	UN01005474	ASBIE	CI_ Document Context_ Parameter. Specified. CI_ Document_ Version	取引プロセス/バージョンアソシエーショ ン	取引プロセスのバージョンに関する情報	1..1				v1					
1_2_6_10_0	10	ヘッダ部	UN01005475	ABIE	CI_ Document_ Version. Details	バージョンクラス	バージョンに関する情報のクラス	-				v1					
1_2_6_10_11	11	ヘッダ部	UN01005476	BBIE	CI_ Document_ Version. Identification. Identifier	バージョン識別子	取引プロセスのバージョン識別子	1..1	コード表識別子	コード表管理者コード	コード表管理者名	v1	△				
1_2_6_10_12	12	ヘッダ部	UN01005478	BBIE	CI_ Document_ Version. Issue. Date  Time	バージョン発行日	取引プロセスのバージョン発行日	1..1	日時様式			v1	△				
1_2_14	13	ヘッダ部	UN01005483	ASBIE	CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ DocumentContext_ Parameter	取引設定内容/取引シナリオアソシエーショ ン	取引設定内容の取引シナリオに関する情報	0..1				v1					
1_2_14_0	14	ヘッダ部	UN01005471	ABIE	CI_ Document Context_ Parameter. Details	取引シナリオ設定クラス	取引シナリオに関する情報のクラス	-				v1					
1_2_14_15	15	ヘッダ部	UN01005472	BBIE	CI_ Document Context_ Parameter. Identification. Identifier	取引シナリオ識別子	取引シナリオの識別子(ID)	0..1				v1	△				
1_2_14_16	16	ヘッダ部	UN01005473	BBIE	CI_ Document Context_ Parameter. Value. Text	取引シナリオ名	取引シナリオの名称	0..1				v1	△				
1_2_18	17	ヘッダ部	UN01005484	ASBIE	CI_ Exchanged Document_ Context. Application_ Specified. CI_ DocumentContext_ Parameter	取引設定内容/アプリケーションアソシエー ション	取引設定内容のアプリケーションに関する 情報	0..1				v1					
1_2_18_0	18	ヘッダ部	UN01005471	ABIE	CI_ Document Context_ Parameter. Details	アプリケーション設定クラス	アプリケーションに関する情報のクラス	-				v1					
1_2_18_19	19	ヘッダ部	UN01005472	BBIE	CI_ Document Context_ Parameter. Identification. Identifier	アプリケーション識別子	業務アプリケーションの識別子	0..1				v1	△				
1_2_18_20	20	ヘッダ部	UN01005473	BBIE	CI_ Document Context_ Parameter. Value. Text	アプリケーション名	業務アプリケーションの名称	0..1				v1	△				
1_2_22	21	ヘッダ部	UN01005486	ASBIE	CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Contex	取引設定内容/業務領 域アソシエーション	取引設定内容の業務領域の情報に関する情 報	1..1				v1					
1_2_22_0	22	ヘッダ部	UN01005471	ABIE	CI_ Document Context_ Parameter. Details	業務領域設定クラス	SIPS業界横断EDIメッセージ業務領域に関する情報のクラス	-				v1					
1_2_22_23	23	ヘッダ部	UN01005472	BBIE	CI_ Document Context_ Parameter. Identification. Identifier	業務領域識別子	SIPSが付与したメッセージ業務領域識別子(ID)	1..1				v1	△			業界区分	＊
1_2_22_24	24	ヘッダ部	UN01005473	BBIE	CI_ Document Context_ Parameter. Value. Text	業務領域名	SIPSが付与したメッセージ業務領域名称	0..1				v1	△				
1_2_22_26	25	ヘッダ部	UN01005474	ASBIE	CI_ Document Context_ Parameter. Specified. CI_ Document_Version	業務領域/バージョン アソシエーション	業務領域のバージョンに関する情報	1..1				v1					
1_2_22_26_0	26	ヘッダ部	UN01005475	ABIE	CI_ Document_ Version. Details	バージョンクラス	バージョンに関する情報のクラス	-				v1					
1_2_22_26_27	27	ヘッダ部	UN01005476	BBIE	CI_ Document_ Version. Identification. Identifier	バージョン識別子	業務領域のバージョン識別子	1..1	コード表識別子	コード表管理者コード	コード表管理者名	v1	△				
1_2_22_26_28	28	ヘッダ部	UN01005478	BBIE	CI_ Document_ Version. Issue. Date  Time	バージョン発行日	業務領域のバージョン発行日	1..1	日時様式			v1	△				
1_29	29	ヘッダ部	UN01005861	ASMA	CIIH_ Exchanged_ Document. Details	請求文書クラス	請求情報の文書全体に係る情報からなるクラス。	0..1				v1					
1_29_30	30	ヘッダ部	UN01005862	BBIE	CIIH_ Exchanged_ Document. Identification. Identifier	請求書番号	受注者が発番した請求書を識別する番号ま たは文字列	0..1				v1		〇		請求書番号	＊（※2）請求書（ないしそれに類する書類）を発行 していない場合は記載不要
1_29_31	31	ヘッダ部	UN01005863	BBIE	CIIH_ Exchanged_ Document. Name.  Text	請求書名	受注者が付与した請求書の文書名称	0..1	言語コード			v1					
1_29_32	32	ヘッダ部	UN01005864	BBIE	CIIH_ Exchanged_ Document. Type. Code	文書タイプコード	この文書が請求書であることを識別する コード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_29_33	33	ヘッダ部	UN01005865	BBIE	CIIH_ Exchanged_ Document. Issue. Date  Time	請求書発効日	請求書／納品書等の発行日付，または請求書の書面上の発行日付。＜消費税：物品取引でない資産譲渡の場合◎＞	0..1	日時様式			v1		〇		請求書発行日	***
1_29_34	34	ヘッダ部	UN01005869	BBIE	CIIH_ Exchanged_ Document. Purpose. Code	請求書目的コード	受注者が請求書の目的（新規、変更、取消、打切り）を管理するために付番した区 分コード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2					
1_29_35	35	ヘッダ部	UN01005875	BBIE	CIIH_ Exchanged_ Document. Category. Code	請求書類型コード	この文書の類型（適格請求書対応、適格請 求書非対応など）を識別するコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2			●		
