CII_Path,CII_Card,EN_ID,EN_Level,EN_Card,EN_BT,EN_Desc,EN_DT
/rsm:CrossIndustryInvoice,,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,1..1,BG-2,1,1..1,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,0..1,BT-24,2,1..1,Specificati on identifier,"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",I
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,1..1,BT-1,1,1..1,Invoice number,A unique identification of the Invoice.,I
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,0..1,BT-3,1,1..1,Invoice type code,A code specifying the functional type of the Invoice.,C
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString,1..1,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format,,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote,0..n,BG-1,1,0..n,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note  subject.",
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,0..n,BT-22,2,1..1,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,T
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode,0..1,BT-21,2,0..1,Invoice note subject code,The subject of the following textual note.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineltem,0..n,BG-25,1,l..n,INVOICE LINE,A group of business terms providing information on individual Invoice lines.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineID,0..1,BT-126,2,1..1,Invoice line identifier,A unique identifier for the individual line within the Invoice.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote/ram:Content,0..n,BT-127,2,0..1,Invoice line note,A textual note that gives unstructured information that is relevant to the Invoice line.,T
