EN_Parent	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT	UBL_Path	UBL_Type	UBL_Card	UBL_Match	UBL_Rules
root	BT-1	1 	1..1	Invoice number	A unique identification of the Invoice.	I	/CreditNote/cbc:ID	I	1..1		
root	BT-2	1 	1..1	Invoice issue date	The date when Invoice was issued.	D	/CreditNote/cbc:IssueDate	D	1..1		
root	BT-3	1 	1..1	Invoice type code	A code specifying the functional type of the Invoice.	C	/CreditNote/cbc:CreditNoteTypeCode	C	0..1	CAR-2	
root	BT-5	1 	1..1	Invoice currency code	"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency."	C	/CreditNote/cbc:DocumentCurrencyCode	C	0..1	CAR-2	
root	BT-6	1 	0..1	VAT accounting currency code	The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.	C	/CreditNote/cbc:TaxCurrencyCode	C	0..1	SEM-2	
root	BT-7	1 	0..1	Value added tax point date	"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive..."	D	/CreditNote/cbc:TaxPointDate	D	0..1	SEM-2	
root	BT-8	1 	0..1	Value added tax point date code	The code of the date when the VAT becomes accountable for the Seller and for the Buyer.	C	/CreditNote/cac:InvoicePeriod/cbc:DescriptionCode	C	0..1	SEM-2	
root	BT-9	1 	0..1	Payment due date	The date when payment is due.	D	/CreditNote/cac:PaymentMeans/cbc:PaymentDueDate	D	0..1		
root	BT-10	1 	0..1	Buyer reference	An identifier assigned by the Buyer used for internal routing purposes.	T	/CreditNote/cbc:BuyerReference	T	0..1		
root	BT-11	1 	0..1	Project reference	The identification of the project the invoice refers to.	0 	/CreditNote/cac:AdditionalDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-12	1 	0..1	Contract reference	The identification contract.	0 	/CreditNote/cac:ContractDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-13	1 	0..1	Purchase order reference	"An identifier of a referenced purchase order, issued by the Buyer."	0 	/CreditNote/cac:OrderReference/cbc:ID	I	0..1		
root	BT-14	1 	0..1	Sales order reference	"An identifier of a referenced sales order, issued by the Seller."	0 	/CreditNote/cac:OrderReference/cbc:SalesOrderID	I	0..1		
root	BT-15	1 	0..1	Receiving advice reference	An identifier of a referenced receiving advice.	0 	/CreditNote/cac:ReceiptDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-16	1 	0..1	Despatch advice reference	An identifier of a referenced despatch advice.	0 	/CreditNote/cac:DespatchDocumentReference/cbc:ID	I	"0.,n"	CAR-3	
root	BT-17	1 	0..1	Tender or lot reference	The identification of the call for tender or lot the invoice relates to.	0 	/CreditNote/cac:OriginatorDocumentReference/cbc:ID	I	0..n	CAR-3	
root	BT-18	1 	0..1	Invoiced object identifier	The identification of the call for tender or lot the invoice relates to.	I	/CreditNote/cac:AdditionalDocumentReference/cbc:ID	I	0..n	CAR-3	with cbc:DocumentType = 'ATS'
BT-18	BT-18-1	2 	0..1	Scheme identifier	The identification scheme identifier of the Invoiced object identifier.	S	/CreditNote/cac:AdditionalDocumentReference/cbc:ID/@schemeID	I	0..1		
root	BT-19	1 	0..1	Buyer accounting reference	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	T	/CreditNote/cbc:AccountingCost	T	0..1		
root	BT-20	1 	0..1	Payment terms	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	T	/CreditNote/cac:PaymentTerms/cbc:Note	T	0..n	CAR-3	
root	BG-1	1 	0..n	INVOICE NOTE	"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject."						
BG-1	BT-21	2 	0..1	Invoice note subject code	The subject of the following textual note.	C	/CreditNote/cbc:Note	T	0..n	"SYN-2, SEM-2"	#subject
BG-1	BT-22	2 	1..1	Invoice note	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	T	/CreditNote/cbc:Note	T	0..n		
root	BG-2	1 	1..1	PROCESS CONTROL	A group of business terms providing information on the business process and rules applicable to the						
BG-2	BT-23	2	0..1	Business process type	"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way."	T	/CreditNote/cbc:ProfileID	I	0..1		
BG-2	BT-24	2 	1..1	Specificati on identifier	"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms."	I	/CreditNote/cbc:CustomizationID	I	0..1	CAR-2	
root	BG-3	1 	0..n	PRECEDING INVOICE REFERENCE	A group of business terms providing information on one or more preceding Invoices.		/CreditNote/cac:BillingReference/cac:InvoiceDocumentReference		0..n	CAR-3	
BG-3	BT-25	2 	1..1	Preceding Invoice number	The identification of an Invoice that was previously sent by the Seller.	0 	/CreditNote/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID		1..1		
BG-3	BT-26	2 	0..1	Preceding Invoice issue date	The date when the Preceding Invoice was issued.	D	/CreditNote/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate	D	0..1		
root	BG-4	1 	1..1	SELLER	A group of business terms providing information about the Seller.		/CreditNote/cac:AccountingSupplierParty		1..1		
BG-4	BT-27	2 	1..1	Seller name	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	N	0..n	"CAR-2, CAR-3"	
BG-4	BT-28	2 	0..1	Seller trading name	"A name by which the Seller is known, other than Seller name (also known as Business name)."	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-4	BT-29	2 	0..n	Seller identifier	An identification of the Seller.	I	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	
BT-29	BT-29-1	3 	0..1	Seller identifier identificati on scheme identifier	The identification scheme identifier of the Seller identifier.	S	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID			m	
BG-4	BT-30	2 	0..1	Seller legal registratio n identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	I	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID	I	0..n	CAR-3	
BT-30	BT-30-1	3 	0..1	Seller legal registratio n identifier identificati on scheme identifier	The identification scheme identifier of the Seller legal registration identifier.	S	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemelD	I	0..1		
BG-4	BT-31	2 	0..1	Seller VAT identifier	The Seller's VAT identifier (also known as Seller VAT identification number).	I	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	CAR-3	with cac:TaxScheme /cbc:ID = 'VAT'
BG-4	BT-32	2 	0..1	Seller tax registratio n identifier	The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	I	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	CAR-3	with cac:TaxScheme /cbc:ID ! = 'VAT'
BG-4	BT-33	2 	0..1	Seller additional legal information	Additional legal information relevant for the Seller.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm	T	0..n	CAR-3	
BG-4	BT-34	2 	0..1	Seller electronic address	Identifies the Seller's electronic address to which a business document may be delivered.	I	/CreditNote/cac:AccountingSuppIierParty/cac:Party/cbc:EndpointID	I	0..1		
BT-34	BT-34-1	3 	1..1	Seller electronic address identificati on scheme identifier	The identification scheme identifier of the Seller electronic address	S	/CreditNote/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID		0..1	CAR-2	
BG-4	BG-5	2 	1..1	SELLER POSTAL ADDRESS	A group of business terms providing information about the address of the Seller.		/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress		0..1	CAR-2	
