ID	Level	Card.	BusinessTerm	Desc.	UsageNote	ReqID	SemanticDataType
BT-1	+	1..1	Invoice number	A unique identification of the Invoice.	The sequential number required in Article 226(2) of the directive 2006/112/EC [2], to uniquely identify the Invoice within the business context, time-frame, operating systems and records of the Seller. It may be based on one or more series of numbers, which may include alphanumeric characters. No identification scheme is to be used.	R56	Identifier
BT-2	+	1..1	Invoice issue date	The date when the Invoice was issued.		R56	Date
BT-3	+	1..1	Invoice type code	A code specifying the functional type of the Invoice.	Commercial invoices and credit notes are defined according the entries in UNTDID 1001 [6]. Other entries of UNTDID 1001 [6] with specific invoices or credit notes may be used if applicable.	R44	Code
BT-5	+	1..1	Invoice currency code	The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.	Only one currency shall be used in the Invoice, except for the Invoice total VAT amount in accounting currency (BT-111] in accordance with article 230 of Directive 2006/112/EC on VAT [2]. The lists of valid currencies are registered with the ISO 4217 Maintenance Agency 'Codes for the representation of currencies and funds'.	R54,R47	Code
BT-6	+	0..1	VAT accounting currency code	The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.	Shall be used in combination with the Invoice total VAT amount in accounting currency (BT-111) when the VAT accounting currency code differs from the Invoice currency code. The lists of valid currencies are registered with the ISO 4217 Maintenance Agency 'Codes for the representation of currencies and funds'. Please refer to Article 230 of the Council Directive 2006/112/EC [2] for more information.	R54	Code
BT-7	+	0..1	Value added tax point date	The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.	The tax point is usually the date goods were supplied or services completed (the 'basic tax point'). There are some variations. Please refer to Article 226 (7) of the Council Directive 2006/112/EC [2] for more information. This element is required if the Value added tax point date is different from the Invoice issue date. Both Buyer and Seller should use the Tax Point Date when provided by the Seller. The use of BT-7 and BT-8 is mutually exclusive.	R45,R46	Date
BT-8	+	0..1	Value added tax point date code	The code of the date when the VAT becomes accountable for the Seller and for the Buyer.	The code shall distinguish between the following entries of UNTDID 2005 [6]: - Invoice document issue date - Delivery date, actual - Paid to dateThe Value added tax point date code is used if the Value added tax point date is not known when the invoice is issued. The use of BT-8 and BT-7 is mutually exclusive.	R45,R46	Code
BT-9	+	0..1	Payment due date	The date when the payment is due.	The payment due date reflects the due date of the net payment. For partial payments it states the first net due date. The corresponding description of more complex payment terms can be stated in BT-20 Payment terms.	R60	Date
BT-10	+	0..1	Buyer reference	An identifier assigned by the Buyer used for internal routing purposes.	The identifier is defined by the Buyer (e.g. contact ID, department, office id, project code), but provided by the Seller in the Invoice.	R8	Text
BT-11	+	0..1	Project reference	The identification of the project the invoice refers to		R44	Document reference
BT-12	+	0..1	Contract reference	The identification of a contract.	The contract identifier should be unique in the context of the specific trading relationship and for a defined time period.	R7	Document reference
BT-13	+	0..1	Purchase order reference 	An identifier of a referenced purchase order, issued by the Buyer.		R5,R56	Document reference
BT-14	+	0..1	Sales order reference	An identifier of a referenced sales order, issued by the Seller.		R41	Document reference
BT-15	+	0..1	Receiving advice reference	An identifier of a referenced receiving advice.		RIO,R56	Document reference
BT-16	+	0..1	Despatch advice reference	An identifier of a referenced despatch advice.		R9,R56	Document reference
BT-17	+	0..1	Tender or lot reference	The identification of the call for tender or lot the invoice relates to.	In some countries a reference to the call for tender that has led to the contract shall be provided.	R7,R4	Document reference
